Table 3-2,,,,
"Research doctorate recipients, by detailed field of doctorate and sex: 2021",,,,
(Number and percent),,,,
Field of doctorate,Totala,Male,Female,% female
Cultural anthropology,186,55,131,70.4
Physical and biological anthropology,71,25,46,64.8
Anthropology nec,51,11,40,78.4
"Area, ethnic, cultural, gender, and group studies",383,135,247,64.5
Area studies,224,88,135,60.3
Ethnic studies,81,33,48,59.3
"Area, ethnic, cultural, gender, and group studies nec",78,14,64,82.1
Economics,"1,317",870,446,33.9
Agricultural economics,76,42,34,44.7
Applied economics,134,75,59,44.0
Development economics and international development,54,27,27,50.0
Econometrics and quantitative economics,145,101,44,30.3
"Economics, general",802,555,246,30.7
Environmental/ natural resource economics,54,35,19,35.2
Economics nec,52,35,17,32.7
Political science and government,581,339,242,41.7
"Political science and government, general",488,282,206,42.2
Political science and government nec,93,57,36,38.7
Public policy analysis,399,169,230,57.6
Education policy analysis,131,47,84,64.1
Health policy analysis,52,18,34,65.4
"Public policy analysis, general",158,80,78,49.4
Public policy nec,58,24,34,58.6
"Sociology, demography, and population studies",578,219,359,62.1
"Sociology, general",501,195,306,61.1
"Sociology, demography, and population studies nec",77,24,53,68.8
"Social sciences, other","1,103",509,593,53.8
Applied linguistics,74,33,41,55.4
Archeology,83,36,47,56.6
Criminal justice and corrections,126,56,70,55.6
Criminology,97,39,58,59.8
Geography and cartography,223,119,104,46.6
International relations and national security studies,105,66,39,37.1
Linguistics,203,92,111,54.7
Social sciences nec,192,68,123,64.1
Non-science and engineering,"10,894","4,674","6,217",57.1
Business,"1,340",756,584,43.6
Business administration and management,456,259,197,43.2
Business management and administration,235,142,93,39.6
Organizational leadership,117,48,69,59.0
Business administration and management nec,104,69,35,33.7
"Business, other",884,497,387,43.8
Accounting and accounting-related,135,71,64,47.4
Finance and financial management,192,138,54,28.1
Management information systems,88,52,36,40.9
Management sciences,73,49,24,32.9
Marketing,119,50,69,58.0
Organizational behavior studies,103,53,50,48.5
Business nec,174,84,90,51.7
Education,"3,711","1,111","2,599",70.0
Education leadership and administration,"1,082",377,705,65.2
"Educational leadership and administration, general",500,188,312,62.4
Higher education and community college administration,391,138,253,64.7
Education leadership and administration nec,191,51,140,73.3
Education research,"1,204",370,834,69.3
Curriculum and instruction,425,127,298,70.1
"Educational assessment, evaluation, and research methods",222,83,139,62.6
Educational/ instructional technology and media design,155,56,99,63.9
Higher education evaluation and research,61,21,40,65.6
Student counseling and personnel services,267,67,200,74.9
Education research nec,74,16,58,78.4
Teacher education,"1,010",252,757,75.0
"Adult, continuing, and workforce education and development",66,17,49,74.2
"Bilingual, multilingual, and multicultural education",77,9,68,88.3
Mathematics teacher education,75,21,54,72.0
Music teacher education,73,35,38,52.1
Special education and teaching,235,45,190,80.9
STEM educational methods,70,25,45,64.3
"Teacher education, science and engineering",68,26,42,61.8
"Teacher education, specific levels and methods",154,25,129,83.8
"Teacher education, specific subject areas",192,49,142,74.0
"Education, other",415,112,303,73.0
"Education, general",268,78,190,70.9
Education nec,147,34,113,76.9
Humanities,"3,076","1,619","1,455",47.3
"English language and literature, letters",933,363,568,60.9
American literature (United States),113,49,64,56.6
Creative writing,68,25,43,63.2
"English language and literature, general",362,147,213,58.8
English literature (British and commonwealth),131,55,76,58.0
"Rhetoric and composition, and writing studies",190,61,129,67.9
English language and literature nec,69,26,43,62.3
"Foreign languages, literatures, and linguistics",505,217,288,57.0
Comparative literature,118,44,74,62.7
"Hispanic/ Latin American languages, literatures, and linguistics",70,35,35,50.0
"Romance languages, literatures, and linguistics",72,26,46,63.9
Spanish language and literature,79,33,46,58.2
"Foreign languages, literatures, and linguistics nec",166,79,87,52.4
History,672,381,291,43.3
American history (United States),209,114,95,45.5
European history,88,50,38,43.2
"History, general",169,95,74,43.8
"History, regional focus",133,78,55,41.4
History nec,73,44,29,39.7
Philosophy and religious studies,592,379,213,36.0
Philosophy,399,264,135,33.8
Religion/ religious studies,126,76,50,39.7
Philosophy and religious studies nec,67,39,28,41.8
"Humanities, other",374,279,95,25.4
Bible/ biblical studies,71,59,12,16.9
Humanities and humanistic studies,62,22,40,64.5
Theological and ministerial studies,241,198,43,17.8
Visual and performing arts,771,349,422,54.7
Performing arts,491,263,228,46.4
"Dance, drama, theatre arts and stagecraft",82,31,51,62.2
Music performance,128,70,58,45.3
Music theory and composition,86,63,23,26.7
Music nec,79,48,31,39.2
Musicology and ethnomusicology,116,51,65,56.0
"Visual arts, media studies/ design",280,86,194,69.3
"Art history, criticism and conservation",167,37,130,77.8
"Film, cinema, and media studies",62,27,35,56.5
"Visual arts, media studies/ design, and arts management nec",51,22,29,56.9
Other non-science and engineering,"1,996",839,"1,157",58.0
Communications and journalism,520,221,299,57.5
"Applied communication, advertising, and public relations",94,35,59,62.8
Communication and media studies,160,69,91,56.9
"Communication, general",85,36,49,57.6
Mass communication/ media studies,95,49,46,48.4
Communications and journalism nec,86,32,54,62.8
Multidisciplinary/ interdisciplinary studies,331,151,180,54.4
Classical and ancient studies,91,54,37,40.7
Multidisciplinary/ interdisciplinary studies nec,240,97,143,59.6
Public administration and social services,490,159,331,67.6
Public administration,202,96,106,52.5
Social work and human services,288,63,225,78.1
"Non-science and engineering, other",655,308,347,53.0
Architecture and architectural studies ,134,72,62,46.3
"City/ urban, community, and regional planning",101,40,61,60.4
"Family, consumer sciences and human sciences",140,35,105,75.0
Homeland security and protective services,50,34,16,32.0
"Law, legal studies and research",80,44,36,45.0
"Parks, recreation, leisure, fitness, and sport studies and management",87,38,49,56.3
Other non-science and engineering nec,63,45,18,28.6
