Table 9-11,,,,,
"Physical sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,
(Number and percent),,,,,
Characteristic,All physical sciences fields,Astronomy and astrophysics,Chemistry,Materials sciences,Physics
Seeking employment or study,28.0,21.4,26.7,33.3,28.9
Other statusa,1.8,3.2,1.8,1.7,1.6
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,98.6,98.9,97.7,100.0,99.2
Other training or unknownc,1.4,1.1,2.3,0.0,0.8
Definite employment plans (%)d,,,,,
Academe,10.4,D,9.3,D,10.5
In tenure track faculty position (%),24.4,0.0,29.4,D,D
Not in tenure track position (%),65.9,D,67.6,D,D
Government,5.8,0.0,D,D,D
Industry or businesse,77.9,52.2,80.5,77.5,76.9
Nonprofit organization,3.7,D,D,D,D
Other or unknownf,2.3,D,2.2,D,1.5
Primary activityg,,,,,
Research and development,70.0,34.8,73.9,66.2,69.3
Teaching,7.1,D,7.5,D,D
Management or administration,2.5,0.0,2.9,D,D
Professional services and other,20.4,D,15.7,D,22.0
Secondary activityg,,,,,
Research and development,12.6,D,D,20.3,13.6
Teaching,2.1,0.0,D,D,2.3
Management or administration,16.6,D,D,21.6,D
Professional services and other,14.1,D,10.4,D,D
No secondary activity,54.5,65.2,56.2,39.2,55.3
Activity unknown,5.2,0.0,5.2,7.5,4.9
Postgraduation location (%)h,,,,,
United Statesi,89.2,91.4,92.6,87.8,85.9
Midwest,15.0,12.9,17.3,12.2,13.7
Northeast,22.9,22.4,25.9,18.5,20.9
South,20.4,25.0,19.6,24.3,19.7
West,30.8,31.0,29.5,32.8,31.6
Outside the United States,10.6,8.6,7.1,12.2,14.0
Location unknown,0.1,0.0,0.2,0.0,0.1
Postgraduation location in same state as doctorate institution (%),31.6,33.6,34.2,35.4,27.9
Female doctorate recipients reporting postgraduation status (number),"1,452",97,919,127,309
Definite postdoctoral training plans,39.3,61.9,35.4,29.1,47.9
Definite employment plans,31.5,18.6,33.8,34.6,27.2
Seeking employment or study,27.0,18.6,28.6,33.1,22.3
Other statusa,2.1,1.0,2.2,3.1,1.9
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,97.7,100.0,97.2,94.6,98.6
Other training or unknownc,2.3,0.0,2.8,5.4,1.4
Definite employment plans (%)d,,,,,
Academe,18.2,D,18.0,D,20.2
In tenure track faculty position (%),30.1,D,28.6,0.0,D
Not in tenure track position (%),60.2,D,64.3,D,D
Government,4.2,0.0,D,D,D
Industry or businesse,72.4,38.9,74.0,81.8,69.0
Nonprofit organization,2.4,D,D,D,D
Other or unknownf,2.8,5.6,2.3,4.5,3.6
Primary activityg,,,,,
Research and development,61.6,35.3,64.3,62.5,56.4
Teaching,14.8,D,15.1,D,D
Management or administration,3.6,D,3.3,D,D
Professional services and other,20.0,D,17.4,D,26.9
Secondary activityg,,,,,
Research and development,16.4,D,D,17.5,26.9
Teaching,2.7,0.0,D,0.0,D
Management or administration,12.3,0.0,D,12.5,D
Professional services and other,8.4,D,6.6,12.5,D
No secondary activity,60.2,41.2,63.0,57.5,55.1
Activity unknown,3.7,5.6,1.9,9.1,7.1
Postgraduation location (%)h,,,,,
United Statesi,89.5,79.5,92.6,90.1,84.1
Midwest,15.8,14.1,17.3,18.5,11.2
Northeast,23.1,21.8,24.7,22.2,19.4
South,19.4,16.7,21.2,13.6,17.2
West,30.8,26.9,28.8,35.8,35.8
Outside the United States,10.5,20.5,7.4,9.9,15.9
Location unknown,0.0,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),30.4,26.9,30.8,40.7,26.7
