Table 3-3,,,,,,,,,,,
"Research doctorate recipients, by detailed field of doctorate, citizenship status, ethnicity, and race: 2021",,,,,,,,,,,
(Number),,,,,,,,,,,
Field of doctorate,All doctorate recipientsa,Temporary visa holders,U.S. citizens and permanent residents,,,,,,,,
Genetics and genomics,398,93,291,28,0,34,10,201,12,4,2
"Genetics, general",121,25,90,10,0,11,1,62,3,2,1
Genome sciences and genomics,72,14,55,4,0,7,3,40,1,0,0
Human/ medical genetics,62,16,46,5,0,5,1,31,2,1,1
Molecular genetics,72,16,52,7,0,8,3,33,1,0,0
Genetics nec,71,22,48,2,0,3,2,35,5,1,0
Microbiology and immunology,974,179,766,83,3,72,36,540,24,2,6
Immunology,303,44,250,33,0,39,13,152,13,0,0
Microbiology and immunology,217,31,176,13,0,14,9,136,3,1,0
"Microbiology, general",257,50,201,19,2,14,10,148,5,0,3
Virology,107,22,83,14,1,3,3,59,1,1,1
Microbiology and immunology nec,90,32,56,4,0,2,1,45,2,0,2
Neurobiology and neurosciences,"1,014",180,795,84,2,101,21,544,26,9,8
Cognitive neuroscience,102,24,77,7,0,8,1,60,0,0,1
Neurobiology and anatomy,94,14,76,10,1,10,0,53,1,1,0
Neuroscience,686,111,545,53,1,73,14,374,20,3,7
Neurobiology and neurosciences nec,132,31,97,14,0,10,6,57,5,5,0
Pharmacology and toxicology,311,72,222,23,0,32,14,137,8,2,6
Pharmacology,131,30,94,13,0,19,5,51,3,1,2
Toxicology,106,19,79,6,0,6,9,51,3,1,3
Pharmacology and toxicology nec,74,23,49,4,0,7,0,35,2,0,1
"Physiology, oncology and cancer biology",713,165,517,50,2,68,32,336,16,6,7
Biomechanics,77,21,55,6,0,2,2,41,4,0,0
Exercise physiology and kinesiology,76,10,65,6,2,1,1,54,1,0,0
Oncology and cancer biology,315,70,231,22,0,40,16,141,5,3,4
"Physiology, general",76,23,48,3,0,8,2,29,3,2,1
"Physiology, oncology and cancer biology nec",169,41,118,13,0,17,11,71,3,1,2
"Biological and biomedical sciences, other","1,297",361,859,80,3,101,43,574,39,6,13
"Biology/ biological sciences, general",331,76,216,21,1,33,12,135,4,3,7
"Biomedical sciences, general",331,84,225,27,0,29,17,133,15,1,3
Botany and plant biology,62,15,47,2,0,5,1,38,1,0,0
Entomology,114,24,89,7,0,5,3,67,6,0,1
Plant physiology and biology nec,60,21,39,7,0,1,1,29,1,0,0
Plant pathology and phytopathology,119,66,46,5,0,3,1,37,0,0,0
Zoology and animal biology,96,16,79,3,1,3,0,65,6,0,1
Biological and biomedical sciences nec,184,59,118,8,1,22,8,70,6,2,1
Computer and information sciences,"2,195","1,334",703,32,0,136,36,450,27,11,11
Computer science,"1,545",953,480,20,0,95,19,316,17,6,7
Computer science,"1,545",953,480,20,0,95,19,316,17,6,7
"Computer and information sciences, other",650,381,223,12,0,41,17,134,10,5,4
Artificial intelligence,167,111,51,2,0,15,0,29,3,2,0
"Computer and information sciences, general",110,74,23,1,0,4,0,15,2,1,0
Computer systems networking and telecommunications,113,75,25,3,0,5,3,11,2,0,1
Informatics and information technology ,88,39,44,2,0,4,8,27,0,1,2
Information science/ studies,103,42,54,2,0,7,6,35,3,1,0
Computer and information sciences nec,69,40,26,2,0,6,0,17,0,0,1
Engineering,"9,563","5,266","3,785",311,6,582,156,"2,515",115,53,47
"Biological, biomedical, and biosystems engineering","1,071",306,732,68,1,148,20,447,29,11,8
Bioengineering and biomedical engineering,978,264,685,66,1,137,19,416,27,11,8
Biological/ biosystems engineering and biomedical technology,93,42,47,2,0,11,1,31,2,0,0
Chemical and petroleum engineering,"1,292",689,540,33,0,80,21,372,24,3,7
Chemical and biomolecular engineering,189,82,100,6,0,15,5,68,5,1,0
Chemical engineering,803,416,345,19,0,53,8,249,11,1,4
Petroleum engineering,132,103,17,1,0,5,4,3,2,1,1
Chemical and petroleum engineering nec,168,88,78,7,0,7,4,52,6,0,2
"Civil, environmental, and transportation engineering","1,020",642,325,33,1,46,14,214,7,8,2
Civil engineering,571,351,173,15,1,19,9,121,3,4,1
Environmental/ environmental health engineering,93,40,50,6,0,9,2,29,3,1,0
Geotechnical and geoenvironmental engineering,76,53,21,1,0,2,0,16,1,1,0
Structural engineering,135,93,42,6,0,7,2,26,0,1,0
Transportation and highway engineering,76,61,15,1,0,5,1,7,0,0,1
"Civil, environmental, and transportation engineering nec",69,44,24,4,0,4,0,15,0,1,0
Electrical and computer engineering,"2,047","1,384",553,40,0,99,32,356,8,8,10
Computer engineering,264,182,64,5,0,12,3,41,0,1,2
Electrical and computer engineering,"1,205",817,356,27,0,63,24,229,5,5,3
Electrical and electronics engineering,512,334,118,8,0,20,4,76,3,2,5
Electrical and computer engineering nec,66,51,15,0,0,4,1,10,0,0,0
Engineering technologies,452,310,132,8,2,31,9,77,5,0,0
Electrical and electronic engineering technologies,80,61,18,1,0,6,0,10,1,0,0
Electromechanical technologies,59,38,17,1,0,4,2,10,0,0,0
Environmental control technologies,148,91,57,6,1,9,3,36,2,0,0
Engineering technologies nec,165,120,40,0,1,12,4,21,2,0,0
Industrial engineering and operations research,604,376,203,17,1,34,11,126,6,4,4
Industrial engineering,325,211,100,6,0,19,7,61,2,2,3
Operations research,160,105,49,5,0,10,3,29,0,2,0
Systems and manufacturing engineering,119,60,54,6,1,5,1,36,4,0,1
Materials and mining engineering,672,336,288,27,0,43,12,186,11,5,4
Materials engineering,194,105,61,4,0,8,6,41,0,2,0
Materials science and engineering,429,208,204,22,0,31,6,129,11,2,3
Materials and mining engineering nec,49,23,23,1,0,4,0,16,0,1,1
Mechanical engineering,"1,413",764,571,52,1,57,20,413,10,9,9
"Mechanical engineering, general","1,413",764,571,52,1,57,20,413,10,9,9
"Engineering, other",992,459,441,33,0,44,17,324,15,5,3
"Aerospace, aeronautical, astronautical, and space engineering",350,152,175,17,0,17,3,127,7,3,1
"Engineering mechanics, physics, and science",111,67,32,2,0,6,0,21,0,1,2
Nanotechnology,61,38,23,0,0,8,1,14,0,0,0
Nuclear engineering,156,55,93,4,0,6,3,76,3,1,0
Engineering nec,314,147,118,10,0,7,10,86,5,0,0
"Geosciences, atmospheric, and ocean sciences","1,044",336,665,48,2,30,13,528,33,7,4
Geological and earth sciences,613,211,373,26,1,14,10,296,19,3,4
Geochemistry,60,12,47,4,0,1,0,38,4,0,0
Geology,109,27,81,7,0,4,1,64,3,1,1
"Geology/ earth science, general",104,35,63,3,0,4,1,52,1,0,2
Geophysics and seismology,101,57,40,5,1,2,2,29,1,0,0
Hydrology and water resources science,81,34,44,0,0,1,2,34,5,1,1
Geological and earth sciences nec,158,46,98,7,0,2,4,79,5,1,0
Ocean/ marine sciences and atmospheric science,431,125,292,22,1,16,3,232,14,4,0
"Atmospheric sciences and meteorology, general",94,33,57,3,1,3,1,47,2,0,0
"Climatology, atmospheric chemistry and physics",60,22,37,3,0,6,0,26,1,1,0
Marine biology and biological oceanography,89,11,76,8,0,4,0,58,4,2,0
Marine sciences,57,12,42,5,0,1,0,34,1,1,0
"Oceanography, chemical and physical",84,32,49,2,0,2,1,40,4,0,0
Atmospheric sciences and meteorology nec,47,15,31,1,0,0,1,27,2,0,0
Health sciences,"2,582",528,"1,886",139,9,182,263,"1,192",55,16,30
Nursing and nursing science,603,60,510,40,3,29,60,361,8,4,5
Nursing education,89,5,84,8,0,4,8,61,2,1,0
Nursing science,357,33,316,23,3,20,30,233,4,2,1
Nursing specialties and practice,157,22,110,9,0,5,22,67,2,1,4
Pharmacy and pharmaceutical sciences,408,189,196,14,1,35,15,118,7,2,4
Medicinal and pharmaceutical chemistry,64,24,38,2,1,1,1,31,2,0,0
Pharmaceutical sciences,243,113,117,11,0,26,10,63,3,2,2
"Pharmacy, pharmaceutical sciences, and administration nec",101,52,41,1,0,8,4,24,2,0,2
Public health,696,131,527,45,3,64,110,278,17,4,6
Environmental health,66,19,42,6,0,8,2,26,0,0,0
Health services research,86,19,60,5,0,14,7,30,2,0,2
Health/ medical physics,70,19,50,3,0,5,1,38,2,1,0
Public health education and promotion,95,8,83,4,1,5,25,43,4,1,0
"Public health, general",179,28,139,18,1,18,38,60,3,0,1
Public health nec,200,38,153,9,1,14,37,81,6,2,3
"Health sciences, other",875,148,653,40,2,54,78,435,23,6,15
Communication disorders sciences,127,21,99,4,1,7,8,76,2,0,1
Exercise science and kinesiology,92,22,67,6,0,3,3,51,2,1,1
"Health sciences, general",66,3,52,5,0,3,8,32,0,2,2
Marriage and family therapy/ counseling,58,3,52,3,0,1,15,27,2,0,4
Medical clinical science,60,6,41,4,0,3,2,29,2,1,0
"Medical, biomedical, and health informatics",61,23,33,2,0,9,1,20,1,0,0
"Mental health, counseling, and therapy services and sciences",91,4,82,4,1,5,16,52,3,0,1
Rehabilitation and therapeutic sciences,121,19,95,3,0,4,7,75,3,1,2
Health sciences nec,199,47,132,9,0,19,18,73,8,1,4
Mathematics and statistics,"1,915",987,847,65,0,96,28,597,33,13,15
Applied mathematics,475,235,228,15,0,22,14,161,8,5,3
"Applied mathematics, general",265,124,132,5,0,11,5,104,3,2,2
Computational and applied mathematics,141,76,63,4,0,7,9,36,3,3,1
Applied mathematics nec,69,35,33,6,0,4,0,21,2,0,0
Mathematics,827,356,428,38,0,45,6,312,18,4,5
Algebra and number theory,69,30,38,1,0,5,0,31,0,0,1
"Mathematics, general",640,275,327,34,0,31,3,233,18,4,4
Mathematics nec,118,51,63,3,0,9,3,48,0,0,0
Statistics,613,396,191,12,0,29,8,124,7,4,7
"Applied statistics, general",56,34,20,2,0,0,4,12,1,0,1
Mathematics and statistics,90,50,38,2,0,2,1,29,2,1,1
Statistics,402,267,116,8,0,21,2,74,4,2,5
Statistics nec,65,45,17,0,0,6,1,9,0,1,0
Multidisciplinary/ interdisciplinary sciences,"1,299",544,674,68,2,70,51,439,27,9,8
Interdisciplinary computer sciences,448,255,175,16,1,33,6,104,9,5,1
Computer science and engineering,119,71,40,2,0,9,2,22,3,2,0
Electrical engineering and computer science,224,138,83,7,0,17,1,52,4,2,0
Interdisciplinary computer sciences nec,105,46,52,7,1,7,3,30,2,1,1
" Multidisciplinary/ interdisciplinary sciences, other",851,289,499,52,1,37,45,335,18,4,7
Behavioral and cognitive sciences,79,19,60,9,0,4,7,34,5,0,1
Computational science and engineering,104,48,46,4,0,6,3,30,1,1,1
Data science and data analytics,106,67,34,2,0,8,2,19,1,1,1
"History/ philosophy of science, technology and society",68,12,49,5,1,1,0,40,0,1,1
Nanoscience/ nanoscale science,57,29,28,2,0,3,2,20,1,0,0
Nutrition sciences,138,48,84,9,0,3,5,66,0,0,1
 Multidisciplinary/ interdisciplinary sciences nec,299,66,198,21,0,12,26,126,10,1,2
Physical sciences,"4,811","1,901","2,712",216,6,266,76,"1,994",96,28,30
Astronomy and astrophysics,263,72,183,12,1,11,4,146,7,2,0
Astronomy,71,21,46,2,0,4,0,39,1,0,0
Astrophysics,113,33,77,3,1,4,2,65,1,1,0
Astronomy and astrophysics nec,79,18,60,7,0,3,2,42,5,1,0
Chemistry,"2,369",875,"1,390",124,4,121,56,"1,004",52,13,16
Analytical chemistry,321,125,192,14,0,19,10,139,7,3,0
Chemical biology,151,49,101,7,0,16,6,67,5,0,0
"Chemistry, general",495,185,231,22,2,21,15,148,7,4,12
Inorganic chemistry,283,95,186,20,0,14,2,145,4,1,0
Organic chemistry,454,165,285,28,0,16,14,216,7,3,1
Physical chemistry,293,111,180,17,0,14,3,131,11,1,3
Polymer chemistry,121,51,67,5,0,10,4,45,3,0,0
Theoretical chemistry,108,49,56,3,1,3,0,43,6,0,0
Chemistry nec,143,45,92,8,1,8,2,70,2,1,0
Materials sciences,429,195,226,12,0,40,5,162,6,1,0
Materials science,276,138,135,6,0,27,2,94,5,1,0
Materials chemistry and materials science nec,153,57,91,6,0,13,3,68,1,0,0
Physics,"1,750",759,913,68,1,94,11,682,31,12,14
Applied physics,133,52,70,7,0,12,1,46,4,0,0
Atomic/ molecular physics,89,33,55,1,0,11,0,40,2,0,1
Condensed matter and materials physics,358,192,162,8,1,20,0,118,7,5,3
Elementary particle physics,166,79,86,5,0,8,1,67,2,1,2
Nuclear physics,79,28,49,3,0,2,0,40,3,0,1
Optics/ optical sciences,120,56,56,7,0,3,1,41,4,0,0
Physics and astronomy,193,80,109,8,0,10,0,87,2,0,2
"Physics, general",339,122,172,19,0,11,3,128,2,5,4
Plasma and high-temperature physics,57,11,46,4,0,5,1,33,3,0,0
Theoretical and mathematical physics,99,49,49,4,0,4,0,40,1,0,0
Physics and physical sciences nec,117,57,59,2,0,8,4,42,1,1,1
Psychology,"3,716",309,"3,070",360,9,195,243,"2,031",125,47,60
Clinical psychology,"1,256",54,"1,090",138,1,73,61,732,44,18,23
Clinical child psychology,52,1,47,8,0,2,3,31,2,0,1
Clinical psychology,"1,204",53,"1,043",130,1,71,58,701,42,18,22
Counseling and applied psychology,"1,338",105,"1,133",131,6,65,135,716,42,13,25
Applied behavior analysis,59,4,52,6,0,4,2,40,0,0,0
Counseling psychology,365,16,313,45,4,21,35,177,11,3,17
Educational psychology,229,43,171,14,0,8,22,117,4,5,1
Industrial and organizational psychology,181,20,149,17,0,14,13,97,6,2,0
School psychology,259,4,242,24,1,10,28,162,14,0,3
Counseling and applied psychology nec,245,18,206,25,1,8,35,123,7,3,4
Research and experimental psychology,651,102,530,52,1,46,14,381,23,11,2
Behavioral neuroscience,87,11,73,11,1,7,1,47,3,2,1
Cognitive psychology and psycholinguistics,106,23,78,6,0,6,1,58,6,1,0
Developmental and child psychology,78,11,67,11,0,8,1,44,2,1,0
Experimental psychology,98,15,80,7,0,5,2,63,1,1,1
Social psychology,143,13,127,8,0,10,8,91,7,3,0
Research and experimental psychology nec,139,29,105,9,0,10,1,78,4,3,0
"Psychology, other",471,48,317,39,1,11,33,202,16,5,10
Human development,142,23,101,9,1,6,13,58,11,0,3
"Psychology, general",261,20,155,22,0,5,15,99,4,4,6
Psychology nec,68,5,61,8,0,0,5,45,1,1,1
Social sciences,"4,749","1,510","2,993",312,15,256,294,"1,950",97,37,32
Anthropology,388,75,294,35,3,26,8,190,20,8,4
"Anthropology, general",80,11,55,5,1,7,0,32,5,3,2
Cultural anthropology,186,48,136,16,2,14,6,84,9,4,1
Physical and biological anthropology,71,9,59,7,0,3,1,42,4,1,1
Anthropology nec,51,7,44,7,0,2,1,32,2,0,0
"Area, ethnic, cultural, gender, and group studies",383,69,283,58,4,21,46,131,15,2,6
Area studies,224,55,151,24,0,12,16,89,6,0,4
Ethnic studies,81,5,72,23,4,7,20,9,6,2,1
"Area, ethnic, cultural, gender, and group studies nec",78,9,60,11,0,2,10,33,3,0,1
Economics,"1,317",773,467,39,0,82,18,305,10,6,7
Agricultural economics,76,47,26,3,0,2,0,18,0,2,1
Applied economics,134,78,54,1,0,11,3,38,0,0,1
Development economics and international development,54,32,22,3,0,2,5,12,0,0,0
Econometrics and quantitative economics,145,122,20,2,0,5,1,10,0,2,0
"Economics, general",802,438,298,28,0,52,6,198,9,1,4
Environmental/ natural resource economics,54,23,30,0,0,8,2,18,0,1,1
Economics nec,52,33,17,2,0,2,1,11,1,0,0
Political science and government,581,139,405,22,1,19,24,316,12,5,6
"Political science and government, general",488,123,333,20,0,17,20,258,8,4,6
Political science and government nec,93,16,72,2,1,2,4,58,4,1,0
Public policy analysis,399,70,316,26,0,26,65,187,9,1,2
Education policy analysis,131,15,115,8,0,10,16,78,2,0,1
Health policy analysis,52,7,45,6,0,4,3,29,3,0,0
"Public policy analysis, general",158,40,113,10,0,12,23,63,3,1,1
Public policy nec,58,8,43,2,0,0,23,17,1,0,0
"Sociology, demography, and population studies",578,91,469,56,2,36,59,295,12,7,2
"Sociology, general",501,74,409,45,2,34,48,263,11,5,1
"Sociology, demography, and population studies nec",77,17,60,11,0,2,11,32,1,2,1
"Social sciences, other","1,103",293,759,76,5,46,74,526,19,8,5
Applied linguistics,74,32,42,10,0,6,0,26,0,0,0
Archeology,83,12,70,5,0,2,1,61,1,0,0
Criminal justice and corrections,126,10,102,12,1,1,26,58,2,1,1
Criminology,97,7,87,10,0,2,11,60,2,2,0
Geography and cartography,223,82,134,12,2,6,7,99,5,2,1
International relations and national security studies,105,30,71,7,0,8,2,53,1,0,0
Linguistics,203,81,109,9,1,11,3,77,5,2,1
Social sciences nec,192,39,144,11,1,10,24,92,3,1,2
Non-science and engineering,"10,894","2,379","7,768",690,34,469,972,"5,098",254,93,158
Business,"1,340",644,590,28,1,78,112,330,19,6,16
Business administration and management,456,180,219,10,0,24,58,109,10,2,6
Business management and administration,235,107,94,3,0,16,21,46,2,0,6
Organizational leadership,117,18,90,5,0,3,30,45,6,1,0
Business administration and management nec,104,55,35,2,0,5,7,18,2,1,0
"Business, other",884,464,371,18,1,54,54,221,9,4,10
Accounting and accounting-related,135,67,64,2,0,13,7,40,2,0,0
Finance and financial management,192,117,62,2,0,12,2,41,2,2,1
Management information systems,88,53,29,1,0,6,8,10,2,1,1
Management sciences,73,38,31,3,0,3,4,14,0,0,7
Marketing,119,69,43,3,0,8,4,27,1,0,0
Organizational behavior studies,103,28,69,3,0,9,13,42,1,1,0
Business nec,174,92,73,4,1,3,16,47,1,0,1
Education,"3,711",496,"2,962",284,21,159,512,"1,810",94,26,56
Education leadership and administration,"1,082",64,937,93,8,28,229,514,41,8,16
"Educational leadership and administration, general",500,30,425,48,5,11,103,230,13,5,10
Higher education and community college administration,391,17,352,35,3,12,86,188,19,3,6
Education leadership and administration nec,191,17,160,10,0,5,40,96,9,0,0
Education research,"1,204",209,924,85,4,60,133,589,21,13,19
Curriculum and instruction,425,66,330,35,1,17,39,220,8,2,8
"Educational assessment, evaluation, and research methods",222,63,151,7,1,16,14,100,4,6,3
Educational/ instructional technology and media design,155,42,100,4,0,14,19,57,2,2,2
Higher education evaluation and research,61,7,54,6,0,1,6,36,2,2,1
Student counseling and personnel services,267,17,235,28,1,7,44,146,4,1,4
Education research nec,74,14,54,5,1,5,11,30,1,0,1
Teacher education,"1,010",181,778,55,6,51,103,520,24,4,15
"Adult, continuing, and workforce education and development",66,11,51,1,0,4,14,31,1,0,0
"Bilingual, multilingual, and multicultural education",77,19,49,15,3,0,5,23,1,0,2
Mathematics teacher education,75,12,63,3,0,4,8,42,3,2,1
Music teacher education,73,9,63,0,0,1,9,52,0,0,1
Special education and teaching,235,42,183,10,0,15,16,134,7,0,1
STEM educational methods,70,9,60,4,0,3,6,43,2,1,1
"Teacher education, science and engineering",68,8,56,4,1,6,7,34,1,1,2
"Teacher education, specific levels and methods",154,23,125,10,1,10,21,75,4,0,4
"Teacher education, specific subject areas",192,48,128,8,1,8,17,86,5,0,3
"Education, other",415,42,323,51,3,20,47,187,8,1,6
"Education, general",268,29,194,25,1,13,23,120,6,1,5
Education nec,147,13,129,26,2,7,24,67,2,0,1
Humanities,"3,076",547,"2,339",224,3,114,111,"1,721",80,37,49
"English language and literature, letters",933,100,776,46,2,36,38,599,30,7,18
American literature (United States),113,16,96,4,0,4,2,81,4,1,0
Creative writing,68,6,60,4,0,4,3,44,5,0,0
"English language and literature, general",362,38,284,18,0,13,21,208,8,3,13
English literature (British and commonwealth),131,14,116,5,0,8,3,93,5,1,1
"Rhetoric and composition, and writing studies",190,16,164,12,1,5,7,134,3,2,0
English language and literature nec,69,10,56,3,1,2,2,39,5,0,4
"Foreign languages, literatures, and linguistics",505,167,305,70,1,19,11,179,12,6,7
Comparative literature,118,46,63,6,0,9,2,41,3,1,1
"Hispanic/ Latin American languages, literatures, and linguistics",70,19,48,27,0,1,1,18,1,0,0
"Romance languages, literatures, and linguistics",72,19,50,7,0,3,5,35,0,0,0
Spanish language and literature,79,27,47,27,0,0,0,16,1,1,2
"Foreign languages, literatures, and linguistics nec",166,56,97,3,1,6,3,69,7,4,4
History,672,117,524,51,0,15,23,403,17,6,9
American history (United States),209,14,193,11,0,0,7,164,8,0,3
European history,88,19,68,3,0,0,2,61,2,0,0
"History, general",169,32,110,15,0,7,4,72,3,3,6
"History, regional focus",133,44,88,16,0,5,8,56,1,2,0
History nec,73,8,65,6,0,3,2,50,3,1,0
Philosophy and religious studies,592,102,457,35,0,23,21,347,11,11,9
Philosophy,399,73,305,26,0,12,8,235,9,7,8
Religion/ religious studies,126,21,97,8,0,6,13,67,1,2,0
Philosophy and religious studies nec,67,8,55,1,0,5,0,45,1,2,1
"Humanities, other",374,61,277,22,0,21,18,193,10,7,6
Bible/ biblical studies,71,9,53,1,0,4,2,41,3,2,0
Humanities and humanistic studies,62,10,44,5,0,5,9,19,5,1,0
Theological and ministerial studies,241,42,180,16,0,12,7,133,2,4,6
Visual and performing arts,771,147,571,43,2,33,17,440,22,5,9
Performing arts,491,89,368,28,1,26,11,282,12,3,5
"Dance, drama, theatre arts and stagecraft",82,11,65,7,0,5,3,45,3,1,1
Music performance,128,25,93,7,0,9,3,69,4,1,0
Music theory and composition,86,17,68,4,0,4,1,57,0,1,1
Music nec,79,15,49,1,0,2,0,42,2,0,2
Musicology and ethnomusicology,116,21,93,9,1,6,4,69,3,0,1
"Visual arts, media studies/ design",280,58,203,15,1,7,6,158,10,2,4
"Art history, criticism and conservation",167,16,141,12,1,5,2,110,8,2,1
"Film, cinema, and media studies",62,23,37,3,0,2,3,28,1,0,0
"Visual arts, media studies/ design, and arts management nec",51,19,25,0,0,0,1,20,1,0,3
Other non-science and engineering,"1,996",545,"1,306",111,7,85,220,797,39,19,28
Communications and journalism,520,138,358,23,1,24,40,242,15,3,10
"Applied communication, advertising, and public relations",94,30,61,7,0,4,9,36,1,0,4
Communication and media studies,160,39,118,5,0,9,7,87,5,3,2
"Communication, general",85,11,66,4,0,4,7,44,4,0,3
Mass communication/ media studies,95,34,54,4,1,4,8,35,1,0,1
Communications and journalism nec,86,24,59,3,0,3,9,40,4,0,0
Multidisciplinary/ interdisciplinary studies,331,57,233,22,3,10,33,153,3,4,5
Classical and ancient studies,91,14,71,5,0,2,1,61,0,1,1
Multidisciplinary/ interdisciplinary studies nec,240,43,162,17,3,8,32,92,3,3,4
Public administration and social services,490,98,357,33,3,23,108,170,10,6,4
Public administration,202,61,127,14,1,9,44,55,1,2,1
Social work and human services,288,37,230,19,2,14,64,115,9,4,3
"Non-science and engineering, other",655,252,358,33,0,28,39,232,11,6,9
Architecture and architectural studies ,134,61,59,4,0,10,1,41,1,1,1
"City/ urban, community, and regional planning",101,39,54,9,0,3,7,33,0,2,0
"Family, consumer sciences and human sciences",140,37,94,14,0,4,17,51,4,0,4
Homeland security and protective services,50,21,28,2,0,0,3,21,1,0,1
"Law, legal studies and research",80,53,20,1,0,3,2,12,2,0,0
"Parks, recreation, leisure, fitness, and sport studies and management",87,22,63,2,0,5,5,45,1,2,3
Other non-science and engineering nec,63,19,40,1,0,3,4,29,2,1,0
