Table 4-1,,,,,,,,,,,,,
"Research doctorate recipients' primary source of financial support, by broad field of doctorate, sex, citizenship status, ethnicity, and race: 2021",,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,
Field and primary source of support,Totala,Sex,,Citizenship status,,U.S. citizens and permanent residents,,,,,,,
Own resources,11.1,7.8,15.5,16.2,3.2,17.6,27.1,10.9,35.9,15.0,16.4,15.5,21.5
Employer or other sources,3.9,4.2,3.5,3.6,4.4,2.7,6.8,2.6,3.7,3.9,2.3,6.1,5.8
Agricultural sciences and natural resources (number),"1,072",527,545,634,436,39,D,39,25,502,11,D,6
Teaching assistantships,12.0,9.9,14.1,11.8,12.2,D,0.0,D,D,11.8,D,12.5,33.3
Research assistantships or traineeshipsb,52.0,54.5,49.5,49.4,56.0,46.2,0.0,53.8,28.0,51.4,45.5,50.0,0.0
"Fellowships, scholarships, or dissertation grants",20.0,18.6,21.3,20.2,19.7,25.6,D,D,28.0,18.9,D,D,16.7
Own resources,9.4,8.3,10.5,13.9,2.8,D,0.0,15.4,D,12.7,D,0.0,50.0
Employer or other sources,6.6,8.7,4.6,4.7,9.4,5.1,25.0,0.0,4.0,5.2,0.0,0.0,0.0
Biological and biomedical sciences (number),"7,515","3,581","3,934","5,542","1,940",529,12,659,252,"3,820",204,41,25
Teaching assistantships,13.8,15.0,12.8,12.8,17.0,10.8,D,7.9,D,14.3,9.3,9.8,16.0
Research assistantships or traineeshipsb,38.3,38.8,37.9,35.3,47.0,29.3,D,35.7,D,37.2,28.4,29.3,28.0
"Fellowships, scholarships, or dissertation grants",37.4,36.0,38.7,40.9,27.6,52.0,41.7,44.9,54.0,37.2,52.9,43.9,36.0
Own resources,7.2,6.8,7.5,8.8,2.7,6.6,D,9.1,D,8.9,6.9,9.8,12.0
Employer or other sources,3.2,3.4,3.1,2.3,5.8,1.3,0.0,2.4,2.0,2.4,2.5,7.3,8.0
Computer and information sciences (number),"1,913","1,458",455,661,"1,233",30,0,131,35,425,26,11,3
Teaching assistantships,17.1,15.7,21.8,13.5,19.2,D,0.0,17.6,D,13.4,D,18.2,0.0
Research assistantships or traineeshipsb,57.9,60.8,48.4,45.4,64.6,26.7,0.0,45.8,25.7,48.0,46.2,45.5,66.7
"Fellowships, scholarships, or dissertation grants",13.8,12.3,18.5,19.7,10.7,33.3,0.0,21.4,25.7,17.9,19.2,18.2,0.0
Own resources,6.4,5.8,8.1,14.5,1.9,D,0.0,9.9,D,13.2,D,9.1,0.0
Employer or other sources,4.8,5.3,3.3,7.0,3.6,0.0,0.0,5.3,8.6,7.5,7.7,9.1,33.3
Engineering (number),"8,511","6,312","2,199","3,543","4,912",294,D,551,148,"2,382",D,32,23
Teaching assistantships,11.9,12.0,11.7,8.5,14.4,9.9,0.0,8.3,12.8,8.3,4.6,6.3,8.7
Research assistantships or traineeshipsb,59.6,61.0,55.8,49.1,67.3,35.4,D,55.7,25.0,51.3,D,53.1,34.8
"Fellowships, scholarships, or dissertation grants",18.4,16.4,24.1,28.9,10.9,40.1,0.0,26.0,41.9,26.7,46.8,18.8,26.1
Own resources,4.9,4.9,4.8,7.6,2.9,9.9,D,6.7,14.9,7.0,D,6.3,17.4
Employer or other sources,5.1,5.7,3.5,6.0,4.6,4.8,0.0,3.3,5.4,6.7,4.6,15.6,13.0
"Geosciences, atmospheric, and ocean sciences (number)",954,534,420,633,318,42,D,30,11,508,33,D,2
Teaching assistantships,21.0,19.5,22.9,19.4,23.9,21.4,0.0,20.0,45.5,19.1,15.2,0.0,50.0
Research assistantships or traineeshipsb,46.8,49.1,43.8,42.7,55.0,19.0,D,50.0,D,44.5,D,D,0.0
"Fellowships, scholarships, or dissertation grants",24.4,22.7,26.7,28.4,16.7,D,0.0,D,D,27.0,39.4,0.0,0.0
Own resources,6.0,6.2,5.7,8.1,1.6,D,D,D,0.0,8.1,D,0.0,50.0
Employer or other sources,1.9,2.6,1.0,1.4,2.8,4.8,0.0,0.0,0.0,1.4,0.0,0.0,0.0
Health sciences (number),"2,250",699,"1,551","1,753",478,129,9,174,242,"1,123",52,11,13
Teaching assistantships,11.0,13.4,9.9,8.3,21.1,10.9,D,9.2,D,8.5,D,27.3,0.0
Research assistantships or traineeshipsb,22.9,29.5,19.9,18.8,37.9,16.3,0.0,25.3,9.5,20.1,19.2,9.1,38.5
"Fellowships, scholarships, or dissertation grants",22.0,24.0,21.1,22.1,21.5,27.9,D,31.0,D,21.5,25.0,27.3,7.7
Own resources,35.2,24.0,40.3,42.8,7.5,40.3,D,27.6,64.0,40.9,D,27.3,46.2
Employer or other sources,8.9,9.0,8.8,8.0,11.9,4.7,11.1,6.9,6.6,9.0,3.8,9.1,7.7
Mathematics and statistics (number),"1,732","1,246",486,801,922,61,0,87,28,574,31,11,9
Teaching assistantships,63.4,65.2,58.8,61.3,65.3,52.5,0.0,60.9,42.9,63.6,51.6,45.5,88.9
Research assistantships or traineeshipsb,14.7,14.7,14.8,12.9,16.2,13.1,0.0,13.8,D,12.7,D,18.2,0.0
"Fellowships, scholarships, or dissertation grants",16.1,14.2,20.8,19.4,13.2,D,0.0,D,32.1,17.1,22.6,27.3,0.0
Own resources,4.0,4.4,3.1,5.1,3.1,D,0.0,D,D,5.1,D,9.1,11.1
Employer or other sources,1.8,1.5,2.5,1.4,2.2,1.6,0.0,1.1,0.0,1.6,0.0,0.0,0.0
Multidisciplinary/ interdisciplinary sciences (number),"1,143",683,460,622,517,61,D,66,42,415,26,D,2
Teaching assistantships,20.8,21.2,20.2,18.5,23.6,21.3,0.0,D,14.3,19.8,D,25.0,0.0
Research assistantships or traineeshipsb,41.8,46.1,35.4,33.6,51.5,24.6,0.0,51.5,19.0,33.0,46.2,25.0,50.0
"Fellowships, scholarships, or dissertation grants",21.3,18.7,25.2,24.4,17.8,31.1,D,D,26.2,22.9,30.8,25.0,50.0
Own resources,11.7,10.0,14.3,18.3,3.9,16.4,0.0,7.6,35.7,19.3,D,D,0.0
Employer or other sources,4.3,4.0,4.8,5.1,3.3,6.6,0.0,6.1,4.8,5.1,0.0,12.5,0.0
Physical sciences (number),"4,361","2,937","1,423","2,564","1,776",204,D,250,71,"1,908",D,22,12
Teaching assistantships,24.9,24.9,24.9,22.5,28.4,25.0,D,20.8,D,22.7,21.5,18.2,8.3
Research assistantships or traineeshipsb,53.5,56.0,48.3,49.8,58.7,35.3,D,57.6,D,51.4,46.2,40.9,66.7
"Fellowships, scholarships, or dissertation grants",17.6,15.3,22.3,22.7,10.4,33.8,D,18.8,45.1,20.9,D,27.3,8.3
Own resources,2.6,2.3,3.2,3.8,0.9,4.9,0.0,2.4,D,3.7,D,9.1,16.7
Employer or other sources,1.4,1.5,1.3,1.2,1.6,1.0,0.0,0.4,1.4,1.4,1.1,4.5,0.0
Psychology (number),"3,013",828,"2,185","2,726",271,305,7,172,215,"1,864",118,32,13
Teaching assistantships,23.1,26.4,21.8,22.3,31.0,15.1,D,27.3,7.0,25.1,19.5,D,30.8
Research assistantships or traineeshipsb,23.9,22.5,24.4,23.4,28.8,18.4,0.0,24.4,13.0,25.8,22.0,18.8,0.0
"Fellowships, scholarships, or dissertation grants",17.6,18.1,17.3,17.1,23.2,20.7,D,20.3,22.8,15.1,20.3,D,23.1
Own resources,33.5,30.3,34.6,35.4,12.5,44.9,D,26.7,55.3,31.9,37.3,D,46.2
Employer or other sources,2.1,2.7,1.8,1.8,4.4,1.0,0.0,1.2,1.9,2.1,0.8,0.0,0.0
Social sciences (number),"4,277","2,125","2,151","2,833","1,420",299,15,241,270,"1,868",95,32,13
Teaching assistantships,31.8,33.5,30.1,27.1,40.9,24.4,D,23.7,D,29.1,33.7,43.8,38.5
Research assistantships or traineeshipsb,14.8,14.7,14.9,14.7,14.9,11.4,D,17.4,D,15.6,10.5,9.4,15.4
"Fellowships, scholarships, or dissertation grants",32.3,32.7,31.8,31.0,34.8,38.8,D,D,28.1,28.6,31.6,28.1,46.2
Own resources,17.2,14.7,19.8,23.1,5.5,21.1,D,D,41.9,22.1,22.1,15.6,0.0
Employer or other sources,4.0,4.5,3.4,4.1,3.9,4.3,13.3,0.8,3.3,4.6,2.1,3.1,0.0
Non-science and engineering (number),"9,315","3,977","5,338","7,082","2,176",627,28,448,863,"4,755",238,73,50
Teaching assistantships,25.3,26.6,24.4,24.6,27.6,23.8,D,26.3,9.7,27.2,27.7,D,26.0
Research assistantships or traineeshipsb,10.6,10.3,10.8,8.0,18.7,6.4,D,10.0,6.8,8.5,6.3,D,6.0
"Fellowships, scholarships, or dissertation grants",25.4,27.7,23.7,22.3,35.7,23.0,35.7,32.6,16.3,22.0,26.5,20.5,26.0
Own resources,31.6,28.3,34.1,37.5,12.3,41.1,46.4,26.8,57.4,34.5,34.9,42.5,38.0
Employer or other sources,7.1,7.1,7.0,7.5,5.7,5.7,3.6,4.2,9.7,7.9,4.6,6.8,4.0
Business (number),"1,132",627,505,528,588,28,D,74,102,298,18,D,4
Teaching assistantships,16.3,14.4,18.6,10.2,21.6,D,0.0,16.2,D,10.7,D,D,0.0
Research assistantships or traineeshipsb,20.8,D,D,15.9,25.3,D,0.0,12.2,9.8,19.5,D,33.3,0.0
"Fellowships, scholarships, or dissertation grants",30.6,32.2,28.5,22.2,37.9,25.0,0.0,44.6,4.9,21.1,38.9,0.0,50.0
Own resources,26.9,24.4,30.1,43.6,12.1,46.4,D,23.0,73.5,39.3,D,33.3,25.0
Employer or other sources,5.4,D,D,8.1,3.1,D,0.0,4.1,D,9.4,0.0,0.0,25.0
Education (number),"3,156",929,"2,227","2,697",443,259,16,151,445,"1,697",88,23,18
Teaching assistantships,11.5,11.9,11.3,10.2,18.7,7.3,0.0,12.6,5.8,11.7,11.4,13.0,0.0
Research assistantships or traineeshipsb,15.0,15.4,14.8,12.5,30.2,10.0,D,17.9,D,13.8,11.4,4.3,5.6
"Fellowships, scholarships, or dissertation grants",12.7,11.4,13.3,11.5,21.0,14.7,D,18.5,D,9.8,14.8,8.7,16.7
Own resources,48.1,47.1,48.5,52.9,18.3,58.3,50.0,42.4,61.1,50.6,52.3,60.9,72.2
Employer or other sources,12.7,14.1,12.1,12.9,11.7,9.7,6.3,8.6,13.0,14.1,10.2,13.0,5.6
Humanities (number),"2,668","1,403","1,265","2,150",510,200,D,108,94,"1,630",75,D,13
Teaching assistantships,40.7,37.9,43.7,41.7,36.5,44.5,D,37.0,D,42.5,44.0,D,46.2
Research assistantships or traineeshipsb,1.2,1.1,1.4,1.1,1.8,D,0.0,D,D,1.0,0.0,D,0.0
"Fellowships, scholarships, or dissertation grants",36.5,37.0,36.0,33.3,50.4,30.5,D,D,40.4,32.2,37.3,40.7,38.5
Own resources,18.6,20.2,16.7,21.3,6.9,22.0,0.0,18.5,27.7,21.3,17.3,22.2,15.4
Employer or other sources,3.0,3.8,2.1,2.6,4.5,D,0.0,1.9,D,2.9,1.3,0.0,0.0
Visual and performing arts (number),670,301,369,530,135,42,D,31,16,410,22,D,4
Teaching assistantships,36.4,39.9,33.6,37.4,32.6,D,0.0,54.8,D,37.6,36.4,D,75.0
Research assistantships or traineeshipsb,1.9,D,D,1.3,4.4,D,0.0,D,0.0,1.2,0.0,0.0,0.0
"Fellowships, scholarships, or dissertation grants",39.3,36.9,41.2,36.6,50.4,38.1,0.0,D,D,35.9,D,33.3,25.0
Own resources,21.0,18.6,23.0,23.6,10.4,26.2,D,D,37.5,23.9,D,33.3,0.0
Employer or other sources,1.3,D,D,1.1,2.2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
Other (number)c,"1,689",717,972,"1,177",500,98,6,84,206,720,35,17,11
Teaching assistantships,28.6,28.6,28.6,27.2,32.0,23.5,16.7,35.7,14.6,29.9,34.3,29.4,36.4
Research assistantships or traineeshipsb,13.6,13.5,13.7,10.1,21.6,8.2,0.0,8.3,5.3,12.4,5.7,0.0,18.2
"Fellowships, scholarships, or dissertation grants",22.4,22.7,22.2,20.5,27.2,22.4,50.0,36.9,17.0,19.9,11.4,5.9,18.2
Own resources,28.9,27.1,30.2,35.5,13.4,39.8,33.3,17.9,56.3,30.3,45.7,52.9,27.3
Employer or other sources,6.5,8.1,5.2,6.7,5.8,6.1,0.0,1.2,6.8,7.6,2.9,11.8,0.0
