Table 8-13,,,,,,,,
"Social sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,,,,,,
(Number and percent),,,,,,,,
Characteristic,All social sciences fields,Anthropology,"Area, ethnic, cultural, gender, and group studies",Economics,Political science and government,Public policy analysis,"Sociology, demography, and population studies","Social sciences, other"
From graduate school start,8.4,9.3,9.8,7.7,7.9,10.8,8.8,8.8
From doctoral program startc,6.0,7.3,6.8,5.8,6.0,5.7,6.7,6.0
Received tuition remission (%),87.3,92.2,87.3,92.5,93.2,70.0,90.6,80.9
Male doctorate recipients (number),"2,358",117,135,870,339,169,219,509
Citizenship status (%),,,,,,,,
U.S. citizen or permanent resident,57.9,66.7,68.1,35.3,71.1,76.3,77.6,68.6
Temporary visa holder,37.0,29.1,21.5,59.4,23.3,19.5,20.1,26.9
Unknown,5.0,4.3,10.4,5.3,5.6,4.1,2.3,4.5
Marital status (%),,,,,,,,
Never married,30.7,35.9,23.7,35.3,31.9,21.3,30.1,26.1
Married,44.8,41.0,42.2,42.4,41.6,56.2,45.2,48.5
Marriage-like relationship,10.9,11.1,11.9,10.6,10.6,7.7,14.2,11.0
"Separated, divorced, widowed",3.5,6.0,6.7,1.4,2.7,6.5,3.2,5.5
Unknown,10.1,6.0,15.6,10.3,13.3,8.3,7.3,8.8
Has dependent age 18 or younger (%),25.5,24.5,32.7,21.1,23.9,40.6,21.6,29.2
Has one or more functional limitations (%),11.7,13.0,14.2,9.7,11.7,14.2,10.9,13.9
Age at doctorate (median years),33.1,35.5,35.6,31.6,32.3,37.8,34.2,34.4
Bachelor's in same field as doctorate (%)b,58.4,55.7,27.9,64.3,70.8,45.7,66.3,49.7
Master's earned (%),89.0,87.8,87.1,86.2,87.3,86.4,94.7,94.0
Master's earned at same doctorate institution (%),45.6,59.4,36.8,44.0,55.1,26.4,56.6,42.6
Time to doctorate (median years),,,,,,,,
Years since earning bachelor's degree,9.8,11.0,11.3,8.8,9.4,13.3,10.5,10.7
From graduate school start,8.3,8.8,9.1,7.7,8.0,10.4,8.8,8.8
From doctoral program startc,5.8,7.3,6.6,5.8,6.0,5.8,6.8,5.9
Received tuition remission (%),87.5,92.0,88.7,92.6,91.9,66.5,91.1,80.1
Female doctorate recipients (number),"2,388",271,247,446,242,230,359,593
Citizenship status (%),,,,,,,,
U.S. citizen or permanent resident,68.1,79.7,76.9,35.9,67.8,81.3,83.3,69.1
Temporary visa holder,26.7,15.1,16.2,57.4,24.8,16.1,13.1,26.3
Unknown,5.2,5.2,6.9,6.7,7.4,2.6,3.6,4.6
Marital status (%),,,,,,,,
Never married,30.6,25.1,32.0,36.1,28.5,26.5,27.9,32.4
Married,42.1,42.1,37.2,37.2,39.7,46.1,45.7,45.0
Marriage-like relationship,11.8,16.2,10.5,11.2,15.7,10.9,10.6,10.1
"Separated, divorced, widowed",5.5,7.4,7.7,2.5,2.5,7.4,7.5,5.4
Unknown,10.1,9.2,12.6,13.0,13.6,9.1,8.4,7.1
Has dependent age 18 or younger (%),22.8,19.2,23.1,16.5,16.9,34.6,26.1,24.4
Has one or more functional limitations (%),14.6,16.8,18.3,7.8,16.3,11.1,17.9,15.7
Age at doctorate (median years),33.1,34.1,34.7,30.7,31.8,35.4,33.7,33.5
Bachelor's in same field as doctorate (%)b,54.0,63.7,27.5,68.0,73.8,34.9,62.9,44.5
Master's earned (%),91.1,89.2,93.9,85.1,88.7,93.6,95.0,92.6
Master's earned at same doctorate institution (%),48.6,57.0,47.9,48.1,57.8,30.8,59.7,42.2
Time to doctorate (median years),,,,,,,,
Years since earning bachelor's degree,10.3,11.5,11.7,8.5,9.1,12.9,10.4,10.6
From graduate school start,8.7,9.8,9.8,7.3,7.8,10.8,8.7,8.9
From doctoral program startc,6.0,7.3,6.8,5.8,6.0,5.6,6.3,6.0
Received tuition remission (%),87.0,92.3,86.5,92.2,94.9,72.6,90.3,81.6
