Table 9-2,,,,,,,
"Non-science and engineering research doctorate recipients, postgraduation plans by sex and broad field of doctorate: 2021",,,,,,,
(Number and percent),,,,,,,
Characteristic,All fields,Non-science and engineering,,,,,
Seeking employment or study,26.8,30.1,17.4,24.5,35.5,48.4,30.2
Other statusb,2.8,3.2,2.8,2.2,3.9,2.6,4.1
Definite postdoctoral training plans (%)c,,,,,,,
Postdoc fellowship or research associateship,95.2,96.3,86.7,93.3,97.4,100.0,99.0
Other training or unknownd,4.8,3.7,13.3,6.7,2.6,0.0,1.0
Definite employment plans (%)e,,,,,,,
Academe,33.0,61.0,73.7,54.5,59.6,58.7,59.7
In tenure track faculty position (%),50.1,49.0,79.6,34.3,35.1,37.8,52.2
Not in tenure track position (%),45.4,47.1,17.5,60.9,61.3,59.5,43.4
Government,8.3,5.4,D,4.8,4.5,D,10.7
Industry or businessf,48.5,12.2,18.0,6.2,8.1,22.2,18.6
Nonprofit organization,5.7,9.6,D,7.3,18.3,D,7.3
Other or unknowng,4.5,11.8,1.3,27.3,9.5,7.9,3.7
Primary activityh,,,,,,,
Research and development,51.8,20.9,48.4,12.4,9.1,8.3,25.2
Teaching,21.0,46.3,30.8,39.4,63.2,65.3,41.9
Management or administration,7.1,18.6,9.6,37.3,11.2,7.4,14.5
Professional services and other,20.0,14.3,11.2,10.9,16.4,19.0,18.4
Secondary activityh,,,,,,,
Research and development,22.4,29.1,30.1,24.0,30.9,28.9,33.2
Teaching,13.0,23.1,44.4,18.6,16.0,15.7,18.6
Management or administration,12.1,11.1,6.0,13.4,12.9,8.3,11.5
Professional services and other,14.5,8.9,7.1,8.5,7.8,15.7,11.2
No secondary activity,38.1,27.9,12.3,35.6,32.4,31.4,25.5
Activity unknown,5.1,4.8,5.1,5.4,4.2,4.0,4.5
Postgraduation location (%)i,,,,,,,
United Statesj,88.0,84.3,76.0,91.2,85.3,83.0,81.5
Midwest,15.5,18.6,15.9,21.0,18.8,18.3,17.8
Northeast,19.3,17.4,16.4,14.5,20.5,17.6,17.0
South,25.4,31.5,30.0,37.3,29.3,24.2,30.7
West,27.4,16.4,12.8,17.9,16.4,22.2,16.0
Outside the United States,11.9,15.6,24.0,8.6,14.4,17.0,18.5
Location unknown,0.1,0.1,0.0,0.1,0.2,0.0,0.0
Postgraduation location in same state as doctorate institution (%),35.8,38.5,19.5,58.6,35.5,34.0,36.3
Female doctorate recipients reporting postgraduation status (number),"21,769","5,504",515,"2,312","1,294",378,"1,005"
Definite postdoctoral training plans,28.5,9.8,6.4,5.6,15.8,13.2,12.3
Definite employment plans,41.1,56.0,69.9,63.8,45.3,39.4,50.7
Seeking employment or study,26.9,30.5,19.0,27.6,34.1,43.4,33.5
Other statusb,3.5,3.7,4.5,2.9,4.8,4.0,3.4
Definite postdoctoral training plans (%)c,,,,,,,
Postdoc fellowship or research associateship,94.0,95.4,97.0,95.3,96.1,92.0,95.2
Other training or unknownd,6.0,4.6,3.0,4.7,3.9,8.0,4.8
Definite employment plans (%)e,,,,,,,
Academe,44.8,63.1,77.8,54.7,73.7,62.4,64.7
In tenure track faculty position (%),41.4,40.8,81.8,25.7,35.2,33.3,52.4
Not in tenure track position (%),55.5,56.8,17.1,71.0,62.7,64.5,45.8
Government,7.5,4.6,D,4.1,2.7,D,9.0
Industry or businessf,31.9,9.5,13.3,8.5,7.5,8.7,12.5
Nonprofit organization,7.5,6.6,D,5.4,7.0,D,9.4
Other or unknowng,8.2,16.2,2.5,27.3,9.0,8.1,4.3
Primary activityh,,,,,,,
Research and development,35.9,17.3,46.1,10.8,10.2,15.2,24.0
Teaching,30.7,46.6,32.9,40.6,70.3,59.4,42.6
Management or administration,12.1,22.3,12.7,33.8,9.1,11.6,14.8
Professional services and other,21.3,13.8,8.4,14.8,10.4,13.8,18.6
Secondary activityh,,,,,,,
Research and development,26.2,30.6,34.6,25.0,37.8,32.6,34.8
Teaching,14.3,20.2,48.7,16.9,11.8,12.3,20.9
Management or administration,12.0,10.0,4.6,10.5,11.3,9.4,10.9
Professional services and other,10.0,7.9,4.3,9.3,7.2,7.2,7.6
No secondary activity,37.4,31.4,7.8,38.3,31.9,38.4,25.8
Activity unknown,5.1,5.3,3.6,6.1,4.8,7.4,4.3
Postgraduation location (%)i,,,,,,,
United Statesj,91.8,91.3,79.1,95.1,89.6,87.4,92.7
Midwest,16.3,17.9,15.8,19.1,16.1,16.6,18.9
Northeast,21.0,17.9,13.7,15.1,22.5,30.7,18.1
South,29.8,37.4,33.8,43.9,31.6,22.6,34.9
West,23.9,17.3,14.8,16.3,18.5,17.6,19.6
Outside the United States,8.2,8.6,20.6,4.9,10.2,12.6,6.9
Location unknown,0.1,0.1,0.3,0.0,0.1,0.0,0.3
Postgraduation location in same state as doctorate institution (%),40.8,47.0,21.6,63.1,39.2,35.2,35.3
