Table 8-4,,,,,,,,,,,
"Biological and biomedical sciences research doctorate recipients, statistical profile by sex and major field of doctorate: 2021",,,,,,,,,,,
"(Number, percent, and median years)",,,,,,,,,,,
Characteristic,All biological and biomedical sciences fields,"Biochemistry, biophysics, and molecular biology","Bioinformatics, biostatistics, and computational biology",Cell/ cellular biology and anatomy,"Ecology, evolutionary biology, and epidemiology",Genetics and genomics,Microbiology and immunology,Neurobiology and neurosciences,Pharmacology and toxicology,"Physiology, oncology, and cancer biology","Biological and biomedical sciences, other"
Unknown,4.0,2.9,3.8,4.9,2.7,2.4,2.9,4.0,4.9,4.7,6.3
Marital status (%),,,,,,,,,,,
Never married,38.8,40.2,46.6,43.4,34.5,42.1,33.7,39.4,42.7,39.9,37.2
Married,35.7,37.9,33.8,32.1,39.6,31.6,39.2,32.2,31.1,37.2,34.4
Marriage-like relationship,14.5,13.0,D,D,15.8,D,18.6,D,12.8,12.0,11.2
"Separated, divorced, widowed",2.1,1.7,D,D,2.5,D,2.4,D,3.0,1.8,3.3
Unknown,9.0,7.1,7.7,7.8,7.6,9.1,6.2,9.9,10.4,9.1,13.8
Has dependent age 18 or younger (%),13.8,14.2,15.4,14.7,20.1,12.1,12.0,8.6,10.9,14.2,13.6
Has one or more functional limitations (%),12.3,13.2,11.2,9.2,12.3,13.5,13.9,13.9,15.8,8.8,11.1
Age at doctorate (median years),30.2,29.8,29.6,30.0,32.1,29.7,29.8,30.0,29.8,30.2,30.3
Bachelor's in same field as doctorate (%)b,65.7,64.4,37.0,79.4,55.1,79.9,82.8,60.4,55.9,58.0,71.4
Master's earned (%),45.3,37.2,67.0,35.4,66.1,34.7,33.6,38.9,44.1,44.0,51.2
Master's earned at same doctorate institution (%),38.4,45.7,56.4,37.7,32.5,37.7,34.3,50.5,43.3,31.7,28.8
Time to doctorate (median years),,,,,,,,,,,
Years since earning bachelor's degree,7.8,7.3,7.3,7.6,9.5,7.3,7.3,7.6,7.1,7.8,8.0
From graduate school start,6.3,6.3,6.3,6.3,7.7,6.3,6.0,6.2,5.9,6.2,6.8
From doctoral program startc,5.7,5.8,5.3,5.8,5.3,5.8,5.5,5.8,5.3,5.3,5.4
Received tuition remission (%),88.3,89.3,84.8,88.5,87.3,87.1,87.5,90.4,87.9,90.3,87.7
