Table 7-9,,,,
"Top 20 baccalaureate-origin institutions ranked by 2018 Carnegie Classification category and total number of research doctorate recipients, by field of doctorate: 2021",,,,
(Number),,,,
2018 Carnegie Classification and baccalaureate-origin institution,Ranka,All fields,Science and engineering,Non-science and engineering
Bangladesh U. of Engineering and Technology,7,181,175,6
Zhejiang U.,8,179,173,6
Huazhong U. of Science and Technology,9,174,166,8
National Taiwan U.,10,172,161,11
Tribhuvan U.,11,169,165,4
U. of Tehran,12,161,141,20
Fudan U.,13,155,145,10
Nanjing U.,13,155,148,7
Islamic Azad U.,15,128,109,19
Nankai U.,16,127,114,13
U. of Dhaka,17,121,110,11
King Saud U.,18,116,86,30
Shandong U.,19,114,106,8
Yonsei U.,20,111,70,41
