Table 9-4,,,,,,,,,,,
"Biological and biomedical sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,,,,,,,
(Number and percent),,,,,,,,,,,
Characteristic,All biological and biomedical sciences fields,"Biochemistry, biophysics, and molecular biology","Bioinformatics, biostatistics, and computational biology",Cell/ cellular biology and anatomy,"Ecology, evolutionary biology, and epidemiology",Genetics and genomics,Microbiology and immunology,Neurobiology and neurosciences,Pharmacology and toxicology,"Physiology, oncology, and cancer biology","Biological and biomedical sciences, other"
Northeast,26.9,25.3,30.1,35.1,21.1,24.6,29.4,31.9,22.6,24.6,24.1
South,25.0,24.1,20.8,15.2,23.7,28.0,24.6,24.5,22.6,32.2,30.7
West,25.5,27.4,26.7,30.4,30.5,18.6,26.6,24.2,23.8,22.0,20.8
Outside the United States,6.8,6.3,8.1,5.8,9.4,7.6,6.5,6.0,6.0,3.4,8.5
Location unknown,0.1,0.0,0.0,0.5,0.0,0.8,0.3,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),43.3,44.7,40.7,45.5,36.8,51.7,43.0,44.0,40.5,39.4,47.1
Female doctorate recipients reporting postgraduation status (number),"4,029",597,225,323,560,196,528,519,151,316,614
Definite postdoctoral training plans,45.0,44.1,28.4,44.3,47.0,44.9,49.2,48.0,46.4,42.4,45.3
Definite employment plans,23.9,22.1,48.0,25.1,27.0,19.9,22.2,16.6,22.5,22.2,23.8
Seeking employment or study,25.0,27.8,20.9,24.1,25.2,24.0,22.0,25.0,29.1,24.7,26.4
Other statusa,5.8,5.9,2.2,6.2,0.9,11.2,6.3,10.2,1.3,10.8,4.1
Definite postdoctoral training plans (%)b,,,,,,,,,,,
Postdoc fellowship or research associateship,95.6,97.7,95.3,95.8,97.0,88.6,95.8,96.4,95.7,91.8,95.3
Other training or unknownc,4.4,2.3,4.7,4.2,3.0,11.4,4.2,3.6,4.3,8.2,4.7
Definite employment plans (%)d,,,,,,,,,,,
Academe,23.8,D,13.0,D,31.8,D,22.2,17.4,D,D,29.5
In tenure track faculty position (%),28.4,D,35.7,D,12.5,D,23.1,D,D,D,32.6
Not in tenure track position (%),69.0,50.0,64.3,74.1,85.4,85.7,76.9,D,D,35.3,62.8
Government,8.6,D,5.6,D,22.5,D,D,D,D,7.1,6.8
Industry or businesse,57.7,67.4,74.1,54.3,31.1,74.4,59.0,69.8,70.6,61.4,48.6
Nonprofit organization,7.3,5.3,5.6,D,11.9,D,D,D,0.0,D,11.6
Other or unknownf,2.7,3.0,1.9,4.9,2.6,0.0,2.6,2.3,2.9,1.4,3.4
Primary activityg,,,,,,,,,,,
Research and development,55.3,61.4,71.4,38.3,53.1,55.3,56.8,46.3,51.6,57.4,53.9
Teaching,14.0,D,5.7,25.9,15.9,D,9.0,D,D,17.6,18.4
Management or administration,4.7,D,0.0,D,8.3,D,D,D,D,D,D
Professional services and other,25.9,18.9,22.9,D,22.8,D,D,37.5,32.3,D,D
Secondary activityg,,,,,,,,,,,
Research and development,16.9,14.2,D,D,21.4,D,15.3,21.3,D,17.6,14.2
Teaching,4.1,D,D,D,4.8,D,D,D,D,D,5.7
Management or administration,18.2,18.1,10.5,13.6,20.7,0.0,24.3,23.8,19.4,16.2,22.0
Professional services and other,9.9,D,18.1,D,17.9,D,D,D,D,D,5.0
No secondary activity,50.8,59.8,56.2,54.3,35.2,78.9,53.2,41.3,38.7,47.1,53.2
Activity unknown,3.8,3.8,2.8,0.0,4.0,2.6,5.1,7.0,8.8,2.9,3.4
Postgraduation location (%)h,,,,,,,,,,,
United Statesi,94.2,93.9,93.0,94.2,92.5,95.3,96.8,95.8,95.2,94.1,92.2
Midwest,15.7,14.9,13.4,19.6,14.0,21.3,17.2,11.3,16.3,17.2,16.5
Northeast,25.2,27.8,33.7,26.3,21.3,23.6,22.0,33.7,17.3,21.1,22.9
South,27.6,26.3,21.5,23.7,25.8,22.8,31.6,23.9,42.3,32.4,30.2
West,25.0,24.1,24.4,24.1,31.2,27.6,24.9,25.7,18.3,22.5,22.2
Outside the United States,5.8,6.1,6.4,5.8,7.5,4.7,3.2,4.2,4.8,5.9,7.8
Location unknown,*,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),45.4,50.9,43.0,47.8,41.8,44.9,47.2,41.2,52.9,36.8,47.9
