Table 7-3,,,,
"Top 20 doctorate-granting institutions ranked by total number of research doctorate recipients, by broad field of doctorate and sex: 2021",,,,
(Number),,,,
Field and institution,Rank,Totala,Male,Female
Columbia U. in the City of New York,18,96,45,51
"U. California, Los Angeles",19,95,45,50
Duke U.,20,88,45,43
 Computer and information sciences,-,"2,195","1,669",526
From top 20 institutions,-,774,586,188
Georgia Institute of Technology,1,62,50,12
"U. Illinois, Urbana-Champaign",1,62,40,22
Massachusetts Institute of Technology,3,57,45,12
Carnegie Mellon U.,4,55,46,9
"U. California, Berkeley",4,55,44,11
Stanford U.,6,42,36,6
"U. Maryland, College Park",7,38,23,15
U. Central Florida,8,35,26,9
"U. Texas, Austin",9,34,28,6
"U. Michigan, Ann Arbor",10,33,28,5
"Purdue U., West Lafayette",11,32,24,8
"Rutgers, State U. New Jersey, New Brunswick",11,32,24,8
Cornell U.,13,31,22,9
"SUNY, Stony Brook U.",13,31,27,4
"U. California, Irvine",13,31,20,11
"U. California, Los Angeles",13,31,26,5
"Indiana U., Bloomington",17,30,21,9
"U. Washington, Seattle",18,29,18,11
Virginia Polytechnic Institute and State U.,19,28,20,8
"U. Minnesota, Twin Cities",20,26,18,8
 Engineering,-,"9,563","7,050","2,511"
From top 20 institutions,-,"3,604","2,680",924
Georgia Institute of Technology,1,348,258,90
"Purdue U., West Lafayette",2,345,257,88
Stanford U.,3,241,161,80
"Texas A&M U., College Station and Health Science Center",3,241,186,55
Massachusetts Institute of Technology,5,217,157,60
"U. Michigan, Ann Arbor",5,217,168,49
"U. Texas, Austin",7,192,142,50
"U. Illinois, Urbana-Champaign",8,181,141,40
North Carolina State U.,9,171,126,45
Virginia Polytechnic Institute and State U.,10,168,124,44
Arizona State U.,11,148,108,40
"U. California, San Diego",12,142,112,30
"Ohio State U., Columbus",13,138,100,38
Pennsylvania State U.,14,135,102,33
U. Florida,14,135,104,31
"U. California, Berkeley",16,126,92,34
"U. Minnesota, Twin Cities",17,123,97,26
"U. California, Los Angeles",18,120,95,25
Carnegie Mellon U.,19,108,76,32
U. Colorado Boulder,19,108,74,34
" Geosciences, atmospheric, and ocean sciences",-,"1,044",583,461
From top 20 institutions,-,419,234,185
"U. California, San Diego",1,35,17,18
U. Houston,2,31,19,12
U. Colorado Boulder,3,29,16,13
"U. Washington, Seattle",3,29,16,13
"Texas A&M U., College Station and Health Science Center",5,28,16,12
Stanford U.,6,26,16,10
"U. Oklahoma, Norman",7,22,17,5
Massachusetts Institute of Technology,8,21,11,10
U. Miami,9,20,14,6
Columbia U. in the City of New York,10,19,7,12
"Ohio State U., Columbus",10,19,8,11
"U. Texas, Austin",10,19,13,6
"U. California, Berkeley",13,18,12,6
"U. California, Irvine",14,17,8,9
"U. Maryland, College Park",14,17,10,7
"Colorado State U., Fort Collins",16,15,8,7
Pennsylvania State U.,16,15,7,8
"U. Hawaii, Manoa",18,13,6,7
"U. Illinois, Urbana-Champaign",18,13,9,4
"U. South Florida, Tampa",18,13,4,9
 Health sciences,-,"2,582",806,"1,776"
From top 20 institutions,-,929,299,630
Walden U.,1,165,45,120
"U. North Carolina, Chapel Hill",2,57,20,37
U. Florida,3,49,16,33
"U. Washington, Seattle",3,49,19,30
Johns Hopkins U.,5,47,8,39
Harvard U.,6,43,16,27
"U. Illinois, Chicago",7,40,15,25
"U. Michigan, Ann Arbor",8,39,15,24
"U. Minnesota, Twin Cities",9,38,17,21
U. Wisconsin-Madison,10,36,17,19
Texas Woman's U.,11,35,4,31
"U. Pittsburgh, Pittsburgh",11,35,10,25
"U. Texas Health Science Center, Houston",11,35,14,21
U. Kentucky,14,32,12,20
Virginia Commonwealth U.,14,32,8,24
"U. California, Los Angeles",16,31,9,22
"U. South Carolina, Columbia",17,30,11,19
"U. Texas, Austin",17,30,12,18
U. Arizona,19,28,2,26
U. Colorado Denver,20,26,7,19
U. Southern California,20,26,13,13
U. Utah,20,26,9,17
 Mathematics and statistics,-,"1,915","1,381",534
From top 20 institutions,-,643,478,165
North Carolina State U.,1,44,23,21
"U. California, Berkeley",2,41,32,9
"Texas A&M U., College Station and Health Science Center",3,40,29,11
U. Wisconsin-Madison,3,40,26,14
Stanford U.,5,38,30,8
"U. Michigan, Ann Arbor",6,36,24,12
"U. Washington, Seattle",7,35,28,7
"Purdue U., West Lafayette",8,34,27,7
Florida State U.,9,32,28,4
"U. California, Davis",9,32,23,9
"SUNY, Stony Brook U.",11,29,24,5
"U. Illinois, Urbana-Champaign",11,29,18,11
Harvard U.,13,28,25,3
Columbia U. in the City of New York,14,27,20,7
Pennsylvania State U.,14,27,20,7
"U. California, Los Angeles",14,27,23,4
Iowa State U.,17,26,16,10
Massachusetts Institute of Technology,17,26,24,2
"U. California, Irvine",17,26,22,4
"U. Minnesota, Twin Cities",17,26,16,10
 Multidisciplinary/ interdisciplinary sciences (number),-,"1,299",762,536
From top 20 institutions,-,461,295,166
"U. California, Berkeley",1,46,35,11
Massachusetts Institute of Technology,2,39,29,10
"U. Washington, Seattle",3,32,24,8
Arizona State U.,4,28,14,14
Carnegie Mellon U.,5,24,17,7
Nova Southeastern U.,6,23,8,15
"Ohio State U., Columbus",6,23,19,4
Pennsylvania State U.,6,23,13,10
U. Notre Dame,9,22,16,6
George Mason U.,10,21,10,11
Stanford U.,11,20,14,6
"U. Tennessee, Knoxville",12,18,9,9
Georgia Institute of Technology,13,17,13,4
"U. Minnesota, Twin Cities",13,17,9,8
"U. California, San Diego",15,16,9,7
"U. Maryland, College Park",15,16,10,6
"U. Texas, Austin",15,16,10,6
"Texas A&M U., College Station and Health Science Center",18,15,13,2
U. Florida,18,15,7,8
"U. Michigan, Ann Arbor",18,15,8,7
"U. South Florida, Tampa",18,15,8,7
 Physical sciences,-,"4,811","3,246","1,563"
From top 20 institutions,-,"1,625","1,112",512
"U. California, Berkeley",1,108,73,35
"U. Michigan, Ann Arbor",2,96,54,42
U. Wisconsin-Madison,3,93,63,30
Stanford U.,4,91,67,24
"U. Illinois, Urbana-Champaign",5,90,63,27
Harvard U.,6,83,56,27
"U. Washington, Seattle",7,80,53,27
"U. California, Los Angeles",8,78,53,25
Massachusetts Institute of Technology,9,75,54,21
"Purdue U., West Lafayette",10,74,49,25
Northwestern U.,11,72,49,22
"U. California, San Diego",12,71,52,19
"Texas A&M U., College Station and Health Science Center",13,70,48,22
Cornell U.,14,69,46,23
Pennsylvania State U.,15,68,50,18
Michigan State U.,16,62,42,20
U. Chicago,16,62,51,11
"U. Minnesota, Twin Cities",18,60,42,18
Yale U.,19,58,36,22
"Ohio State U., Columbus",20,55,36,19
U. Arizona,20,55,45,10
"U. California, Davis",20,55,30,25
 Psychology,-,"3,716","1,005","2,711"
From top 20 institutions,-,"1,050",272,778
Walden U.,1,195,44,151
Fielding Graduate U.,2,72,11,61
Palo Alto U.,3,61,12,49
"CUNY, Graduate Center",4,56,18,38
"Alliant International U., San Diego",5,55,18,37
U. Florida,6,53,15,38
Pennsylvania State U.,7,46,15,31
Pacifica Graduate Institute,8,42,10,32
"U. Texas, Austin",9,39,8,31
Columbia U. in the City of New York,10,37,16,21
"Texas A&M U., College Station and Health Science Center",11,36,11,25
Fordham U.,12,35,7,28
U. Georgia,12,35,13,22
"U. Minnesota, Twin Cities",12,35,9,26
U. Wisconsin-Madison,12,35,13,22
U. Kansas,16,34,9,25
Texas Tech U.,17,32,6,26
"U. Connecticut, Storrs",18,31,8,23
U. Houston,18,31,2,29
North Carolina State U.,20,30,9,21
"Ohio State U., Columbus",20,30,12,18
"U. Maryland, College Park",20,30,6,24
 Social sciences,-,"4,749","2,358","2,388"
From top 20 institutions,-,"1,617",822,793
Walden U.,1,129,66,63
U. Chicago,2,114,58,56
"U. California, Berkeley",3,110,60,50
Harvard U.,4,102,55,47
"U. California, Los Angeles",5,86,44,42
U. Wisconsin-Madison,5,86,46,40
Stanford U.,7,82,39,42
"Ohio State U., Columbus",8,81,38,43
"U. Michigan, Ann Arbor",9,75,34,41
"U. Minnesota, Twin Cities",9,75,47,28
"CUNY, Graduate Center",11,73,35,38
Michigan State U.,12,72,33,39
Columbia U. in the City of New York,13,69,34,35
"Indiana U., Bloomington",13,69,24,45
"U. Maryland, College Park",13,69,37,32
Pennsylvania State U.,16,68,30,38
Yale U.,17,66,38,27
George Mason U.,18,64,34,30
U. Pennsylvania,18,64,40,24
"U. Texas, Austin",20,63,30,33
Non-science and engineering,-,"10,894","4,674","6,217"
From top 20 institutions,-,"2,887","1,193","1,693"
Walden U.,1,327,104,223
"Ohio State U., Columbus",2,166,71,95
Columbia U. in the City of New York,3,158,67,91
"U. Texas, Austin",3,158,66,92
Texas Tech U.,5,151,56,95
Harvard U.,6,138,68,70
"U. California, Los Angeles",7,136,59,77
Florida State U.,8,129,56,73
"U. California, Berkeley",9,123,61,62
Pennsylvania State U.,10,121,38,83
Arizona State U.,11,116,59,57
U. Florida,11,116,46,70
U. Chicago,13,112,70,42
"Indiana U., Bloomington",14,110,53,57
"CUNY, Graduate Center",15,109,44,65
U. Georgia,16,107,39,68
Michigan State U.,17,106,42,64
U. Wisconsin-Madison,17,106,44,62
"U. Michigan, Ann Arbor",19,104,37,67
"Texas A&M U., College Station and Health Science Center",20,98,38,59
U. Pennsylvania,20,98,45,53
"U. South Florida, Tampa",20,98,30,68
 Business,-,"1,340",756,584
From top 20 institutions,-,500,271,229
Walden U.,1,89,42,47
Stanford U.,2,25,15,10
Regent U.,3,24,14,10
U. Florida,4,21,10,11
"Rutgers, State U. New Jersey, Newark",5,20,13,7
"U. North Texas, Denton",5,20,15,5
Fielding Graduate U.,7,19,7,12
"Oklahoma State U., Stillwater",7,19,9,10
"Purdue U., West Lafayette",9,18,12,6
Temple U.,9,18,8,10
"U. Minnesota, Twin Cities",9,18,12,6
Massachusetts Institute of Technology,12,17,12,5
Case Western Reserve U.,13,16,7,9
Pennsylvania State U.,13,16,6,10
"U. Maryland, College Park",13,16,6,10
Arizona State U.,16,15,10,5
Benedictine U.,16,15,9,6
Columbia U. in the City of New York,16,15,7,8
Texas Tech U.,16,15,9,6
Cornell U.,20,14,8,6
Harvard U.,20,14,10,4
Northwestern U.,20,14,9,5
"U. Arkansas, Fayetteville",20,14,7,7
"U. Illinois, Urbana-Champaign",20,14,8,6
"U. Texas, Arlington",20,14,6,8
 Education,-,"3,711","1,111","2,599"
From top 20 institutions,-,"1,053",307,746
Walden U.,1,116,20,96
Texas Tech U.,2,78,24,54
"U. South Florida, Tampa",3,64,15,49
"Columbia U., Teachers C.",4,63,20,43
Pennsylvania State U.,5,58,14,44
Michigan State U.,6,57,18,39
"Ohio State U., Columbus",7,54,13,41
Old Dominion U.,8,52,13,39
George Washington U.,9,50,14,36
"Auburn U., Auburn",10,49,16,33
"U. Texas, Austin",11,48,17,31
U. Georgia,12,47,15,32
U. Kentucky,13,45,15,30
"U. North Texas, Denton",13,45,14,31
Temple U.,15,42,19,23
"Texas A&M U., College Station and Health Science Center",16,39,11,28
Florida State U.,17,37,13,24
"Indiana U., Bloomington",17,37,13,24
"SUNY, U. Buffalo",17,37,9,28
North Carolina State U.,20,35,14,21
 Humanities,-,"3,076","1,619","1,455"
From top 20 institutions,-,"1,025",559,466
Columbia U. in the City of New York,1,68,32,36
U. Chicago,2,66,42,24
Harvard U.,3,65,33,32
"U. California, Berkeley",4,51,27,24
"U. Texas, Austin",5,50,26,24
"U. California, Los Angeles",6,49,23,26
"Ohio State U., Columbus",7,48,26,22
Florida State U.,8,45,26,19
U. Notre Dame,9,44,22,22
"CUNY, Graduate Center",10,42,20,22
Yale U.,10,42,25,17
Duke U.,12,41,27,14
"Indiana U., Bloomington",13,40,25,15
New York U.,13,40,20,20
"Rutgers, State U. New Jersey, New Brunswick",13,40,15,25
Stanford U.,16,39,16,23
Midwestern Baptist Theological Seminary,17,38,37,1
Southwestern Baptist Theological Seminary,18,37,34,3
Emory U.,19,36,16,20
"Purdue U., West Lafayette",19,36,18,18
"U. Michigan, Ann Arbor",19,36,13,23
U. Pennsylvania,19,36,20,16
U. Wisconsin-Madison,19,36,16,20
 Visual and performing arts,-,771,349,422
From top 20 institutions,-,392,170,222
Arizona State U.,1,37,19,18
"CUNY, Graduate Center",2,35,10,25
U. Miami,3,26,14,12
Columbia U. in the City of New York,4,25,13,12
"U. California, Los Angeles",4,25,13,12
U. Colorado Boulder,6,22,15,7
New York U.,7,20,4,16
U. Chicago,8,19,10,9
"U. California, Berkeley",9,18,8,10
"U. Pittsburgh, Pittsburgh",9,18,6,12
Harvard U.,11,16,6,10
"Ohio State U., Columbus",11,16,7,9
West Virginia U.,11,16,10,6
Florida State U.,14,15,1,14
U. Rochester,14,15,7,8
"U. Texas, Austin",14,15,5,10
"U. California, Santa Barbara",17,14,2,12
Yale U.,17,14,8,6
Texas Tech U.,19,13,4,9
U. Memphis,19,13,8,5
 Other non-science and engineering,-,"1,996",839,"1,157"
From top 20 institutions,-,720,293,427
Walden U.,1,116,39,77
"Ohio State U., Columbus",2,39,17,22
U. Florida,2,39,16,23
Harvard U.,4,34,17,17
U. Georgia,4,34,10,24
"U. Texas, Austin",6,33,10,23
Columbia U. in the City of New York,7,32,11,21
"U. Michigan, Ann Arbor",7,32,13,19
"U. California, Berkeley",9,30,15,15
U. Southern California,9,30,12,18
Michigan State U.,11,28,15,13
U. Pennsylvania,11,28,11,17
Florida State U.,13,27,13,14
"Texas A&M U., College Station and Health Science Center",13,27,11,16
Arizona State U.,15,26,13,13
North Carolina State U.,15,26,9,17
"U. North Carolina, Chapel Hill",17,25,11,14
Texas Tech U.,18,24,11,13
"U. Illinois, Urbana-Champaign",18,24,11,13
Pennsylvania State U.,20,22,11,11
"U. California, Los Angeles",20,22,11,11
U. Kentucky,20,22,6,16
