Table 2-5,,,,,,,,,,,,,
"Sources of support for research doctorate recipients with postdoctoral training commitments, by sex, citizenship status, ethnicity, and race: Selected years, 1991–2021",,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,
"Postdoctoral training commitments, source of support, and year",Totala,Sex,,Citizenship status,,U.S. citizens and permanent residents,,,,,,,
1996,9.6,9.3,10.1,9.2,10.7,8.6,10.0,7.4,7.5,9.8,na,7.1,3.6
2001,11.6,11.8,11.2,10.7,13.6,8.5,17.6,11.9,7.8,10.8,15.3,9.3,10.4
2006,8.4,8.3,8.4,7.7,9.4,6.5,9.1,8.2,7.4,7.9,5.9,5.9,6.4
2011,8.8,9.5,7.8,7.9,10.4,7.5,10.5,5.8,7.1,8.2,6.8,6.9,12.2
2016,9.2,9.1,9.2,8.5,10.5,9.3,D,9.0,D,8.5,8.6,6.7,11.5
2021,8.3,8.4,8.2,7.5,9.5,6.1,D,8.3,D,7.6,10.9,10.9,2.7
Unknown (%)d,,,,,,,,,,,,,
1991,13.2,12.1,15.6,13.8,11.8,17.4,21.1,12.1,25.8,13.6,na,7.7,8.5
1996,12.5,10.9,15.5,12.6,12.4,10.3,10.0,14.2,22.6,12.0,na,10.7,14.3
2001,8.2,7.4,9.4,8.0,8.7,8.1,0.0,9.6,14.4,7.4,3.4,13.0,16.4
2006,7.7,7.1,8.4,7.8,7.4,10.4,0.0,9.8,12.2,7.0,4.2,15.7,17.0
2011,10.6,10.4,10.7,9.8,11.5,11.5,D,12.3,10.9,9.2,D,19.0,11.0
2016,9.1,9.0,9.3,8.6,9.9,9.7,22.2,10.8,10.9,7.9,10.8,13.3,11.5
2021,14.8,15.1,14.4,12.8,17.5,13.7,13.0,15.4,12.8,12.2,10.3,23.4,32.4
