Table 9-13,,,,,,,,
"Social sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,,,,
(Number and percent),,,,,,,,
Characteristic,All social sciences fields,Anthropology,"Area, ethnic, cultural, gender, and group studies",Economics,Political science and government,Public policy analysis,"Sociology, demography, and population studies","Social sciences, other"
Other statusa,2.0,1.8,0.8,1.2,3.3,5.0,1.0,2.3
Definite postdoctoral training plans (%)b,,,,,,,,
Postdoc fellowship or research associateship,97.8,97.0,96.7,97.8,100.0,84.6,100.0,97.2
Other training or unknownc,2.2,3.0,3.3,2.2,0.0,15.4,0.0,2.8
Definite employment plans (%)d,,,,,,,,
Academe,49.7,66.7,70.4,45.1,54.3,31.9,68.9,49.4
In tenure track faculty position (%),58.0,35.0,28.9,76.8,42.0,36.7,46.5,54.4
Not in tenure track position (%),39.6,65.0,71.1,21.2,58.0,56.7,53.5,39.5
Government,18.3,D,D,22.3,10.2,24.5,8.7,19.5
Industry or businesse,20.2,D,D,25.7,19.7,20.2,D,16.5
Nonprofit organization,7.8,D,D,5.4,10.2,18.1,D,9.1
Other or unknownf,3.9,3.3,13.0,1.5,5.5,5.3,4.9,5.6
Primary activityg,,,,,,,,
Research and development,48.0,23.3,13.5,65.1,26.9,39.6,46.0,34.9
Teaching,26.8,53.3,71.2,13.7,43.7,11.0,42.0,34.0
Management or administration,8.5,D,D,3.9,10.9,26.4,D,11.6
Professional services and other,16.7,D,D,17.4,18.5,23.1,D,19.5
Secondary activityg,,,,,,,,
Research and development,26.8,40.0,42.3,20.8,37.8,18.7,30.0,31.6
Teaching,24.1,D,D,30.3,19.3,24.2,20.0,19.1
Management or administration,D,D,D,7.7,D,16.5,12.0,14.4
Professional services and other,D,D,9.6,13.7,D,15.4,12.0,10.2
No secondary activity,26.8,23.3,34.6,27.4,27.7,25.3,26.0,24.7
Activity unknown,4.1,0.0,3.7,3.0,6.3,3.2,2.9,6.9
Postgraduation location (%)h,,,,,,,,
United Statesi,76.1,84.1,82.1,67.0,82.0,87.9,83.4,80.8
Midwest,14.5,12.7,15.5,12.8,19.4,11.2,15.2,15.9
Northeast,17.4,20.6,25.0,16.2,19.4,17.8,23.2,12.9
South,25.9,20.6,14.3,21.8,26.1,47.7,25.8,31.5
West,17.9,30.2,26.2,15.9,16.1,11.2,19.2,20.2
Outside the United States,23.8,15.9,16.7,32.8,18.0,12.1,16.6,19.2
Location unknown,0.1,0.0,1.2,0.1,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),24.7,36.5,45.2,14.7,28.4,36.4,31.1,28.8
Female doctorate recipients reporting postgraduation status (number),"2,203",249,225,403,215,216,337,558
Definite postdoctoral training plans,20.1,24.9,19.1,16.9,25.6,15.7,23.7,17.9
Definite employment plans,48.5,31.7,37.3,66.5,45.6,52.8,48.7,47.0
Seeking employment or study,28.2,39.0,37.3,15.6,25.6,27.8,24.9,31.9
Other statusa,3.1,4.4,5.8,1.0,3.3,3.2,2.7,3.2
Definite postdoctoral training plans (%)b,,,,,,,,
Postdoc fellowship or research associateship,96.6,95.2,93.0,98.5,100.0,97.1,98.8,94.0
Other training or unknownc,3.4,4.8,7.0,1.5,0.0,2.9,1.3,6.0
Definite employment plans (%)d,,,,,,,,
Academe,53.9,67.1,70.2,47.8,59.2,41.2,54.9,53.8
In tenure track faculty position (%),49.0,24.5,32.2,74.2,50.0,29.8,55.6,44.0
Not in tenure track position (%),49.5,73.6,66.1,24.2,50.0,68.1,43.3,53.9
Government,13.5,D,D,15.3,10.2,22.8,15.2,14.1
Industry or businesse,18.2,D,D,29.9,16.3,12.3,D,16.4
Nonprofit organization,10.5,D,D,5.6,8.2,16.7,D,11.8
Other or unknownf,3.9,2.5,9.5,1.5,6.1,7.0,2.4,3.8
Primary activityg,,,,,,,,
Research and development,40.6,25.6,7.5,56.3,37.4,43.5,45.2,37.1
Teaching,32.3,48.7,67.5,19.9,36.3,13.0,33.8,34.4
Management or administration,9.9,D,D,2.0,6.6,27.8,D,10.9
Professional services and other,17.2,D,D,21.9,19.8,15.7,D,17.6
Secondary activityg,,,,,,,,
Research and development,30.1,33.3,46.3,27.7,27.5,18.5,33.1,30.5
Teaching,19.1,D,D,26.6,25.3,16.7,17.8,17.2
Management or administration,D,D,D,10.9,D,14.8,16.6,13.3
Professional services and other,D,D,6.3,11.7,D,10.2,7.6,9.0
No secondary activity,30.0,37.2,37.5,23.0,34.1,39.8,24.8,30.1
Activity unknown,4.0,1.3,4.8,4.5,7.1,5.3,4.3,2.3
Postgraduation location (%)h,,,,,,,,
United Statesi,85.4,88.7,93.7,74.4,81.0,92.6,92.6,85.4
Midwest,14.3,19.9,20.5,11.3,10.5,16.2,14.3,13.5
Northeast,19.5,19.9,22.8,22.6,20.9,17.6,20.9,14.4
South,30.2,22.0,25.2,24.7,27.5,40.5,35.7,33.4
West,20.3,24.8,22.0,15.2,21.6,18.2,20.5,22.9
Outside the United States,14.6,11.3,6.3,25.6,19.0,7.4,7.4,14.6
Location unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),32.8,32.6,39.4,17.6,29.4,43.2,38.9,37.8
