Table 8-1,,,,,,,,,,,,,
"Science and engineering research doctorate recipients, statistical profile by sex and broad field of doctorate: 2021",,,,,,,,,,,,,
"(Number, percent, and median years)",,,,,,,,,,,,,
Characteristic,All fields,Science and engineering ,,,,,,,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences
Has dependent age 18 or younger (%),21.5,18.6,29.1,17.6,21.2,17.8,17.7,30.3,11.5,20.2,11.5,24.6,25.5
Has one or more functional limitations (%),10.0,9.8,11.2,11.4,9.1,7.9,8.9,10.1,10.6,9.6,8.8,14.3,11.7
Age at doctorate (median years),31.3,30.7,32.0,30.8,31.3,30.3,31.0,33.0,29.5,31.5,29.3,31.8,33.1
Bachelor's in same field as doctorate (%)b,64.5,67.7,52.9,62.7,41.7,83.8,55.0,36.0,79.7,12.8,78.6,69.6,58.4
Master's earned (%),73.9,70.0,81.0,44.7,77.2,78.2,72.3,73.7,70.6,78.4,54.4,89.4,89.0
Master's earned at same doctorate institution (%),45.9,48.6,29.7,38.4,48.8,50.1,43.0,35.1,54.3,47.1,57.8,65.9,45.6
Time to doctorate (median years),,,,,,,,,,,,,
Years since earning bachelor's degree,8.3,8.0,8.6,8.0,8.6,7.6,8.0,10.0,7.0,8.4,6.7,8.6,9.8
From graduate school start,7.0,6.8,7.3,6.5,7.3,6.8,6.9,7.8,6.1,7.3,6.0,7.0,8.3
From doctoral program startc,5.7,5.5,4.9,5.8,5.8,5.3,5.3,5.3,5.3,5.7,5.8,5.9,5.8
Received tuition remission (%),85.8,87.1,84.0,90.1,85.8,85.2,88.4,75.2,94.0,83.4,90.8,81.9,87.5
Female doctorate recipients (number),"24,156","17,939",621,"4,312",526,"2,511",461,"1,776",534,536,"1,563","2,711","2,388"
Citizenship status (%),,,,,,,,,,,,,
U.S. citizen or permanent resident,68.1,65.9,61.2,72.2,36.3,45.2,69.4,76.5,44.9,60.1,58.4,82.0,68.1
Temporary visa holder,25.8,28.3,34.5,23.9,55.5,48.0,26.5,17.0,50.0,33.6,37.2,8.8,26.7
Unknown,6.1,5.8,4.3,4.0,8.2,6.8,4.1,6.5,5.1,6.3,4.4,9.2,5.2
Marital status (%),,,,,,,,,,,,,
Never married,31.9,34.9,34.0,38.8,35.2,41.2,35.8,23.5,44.2,32.6,45.0,27.2,30.6
Married,39.8,37.4,39.1,35.7,41.4,34.6,33.2,49.1,33.5,36.8,31.0,35.0,42.1
Marriage-like relationship,10.9,11.9,11.0,14.5,6.3,9.2,19.1,6.9,11.2,11.6,12.7,13.5,11.8
"Separated, divorced, widowed",4.5,3.5,3.4,2.1,2.9,2.0,2.8,7.4,1.1,4.5,1.7,4.6,5.5
Unknown,12.9,12.2,12.6,9.0,14.3,13.0,9.1,13.1,9.9,14.6,9.5,19.8,10.1
Has dependent age 18 or younger (%),21.1,17.3,19.4,13.8,20.6,12.8,11.5,34.1,11.6,21.1,9.5,16.3,22.8
Has one or more functional limitations (%),12.7,12.0,10.9,12.3,12.4,9.0,13.9,10.8,8.6,12.6,13.3,12.7,14.6
Age at doctorate (median years),31.7,30.8,31.4,30.2,31.4,29.8,30.2,35.5,29.3,31.6,28.8,31.0,33.1
Bachelor's in same field as doctorate (%)b,58.3,63.4,46.3,65.7,38.4,78.0,50.6,48.3,80.9,11.5,78.4,73.8,54.0
Master's earned (%),76.4,70.4,75.6,45.3,78.9,71.8,67.0,83.3,77.1,79.8,49.1,91.6,91.1
Master's earned at same doctorate institution (%),45.3,49.3,35.7,38.4,48.1,50.6,45.9,33.1,61.8,46.9,58.2,67.2,48.6
Time to doctorate (median years),,,,,,,,,,,,,
Years since earning bachelor's degree,9.0,8.3,8.4,7.8,9.1,7.2,7.8,12.0,7.0,9.1,6.3,8.6,10.3
From graduate school start,7.6,6.9,7.0,6.3,7.4,6.3,6.7,9.6,6.2,7.8,5.8,6.9,8.7
From doctoral program startc,5.8,5.7,5.0,5.7,5.6,5.3,5.3,5.2,5.3,5.4,5.3,6.0,6.0
Received tuition remission (%),83.0,85.0,86.8,88.3,82.8,87.1,88.5,68.9,92.2,86.1,90.4,80.4,87.0
