Table 4-5,,,,,,,,,,,,,,,,,,,,,,,,
"Education-related debt of research doctorate recipients, by sex, citizenship status, ethnicity, and race: 2021",,,,,,,,,,,,,,,,,,,,,,,,
"(Median debt, number, and percent)",,,,,,,,,,,,,,,,,,,,,,,,
Debt level,Sex,,,,Citizenship status,,,,U.S. citizens and permanent residents,,,,,,,,,,,,,,,
,,,,,,,,,Hispanic or Latino,,Not Hispanic or Latino,,,,,,,,,,,,Ethnicity not reported,
"$20,001–$30,000",688,2.7,643,3.0,"1,032",3.4,297,1.8,131,4.8,D,D,53,1.8,116,5.0,673,3.3,D,D,6,2.0,6,3.3
"$30,001–$40,000",510,2.0,489,2.3,796,2.6,198,1.2,103,3.8,D,D,49,1.7,75,3.3,534,2.6,21,2.0,D,D,3,1.6
"$40,001–$50,000",396,1.5,417,1.9,661,2.2,146,0.9,79,2.9,D,D,40,1.4,76,3.3,433,2.1,22,2.1,D,D,6,3.3
"$50,001–$60,000",348,1.4,402,1.9,650,2.1,100,0.6,64,2.4,6,6.7,29,1.0,96,4.2,411,2.0,34,3.2,7,2.3,3,1.6
"$60,001–$70,000",281,1.1,335,1.5,543,1.8,70,0.4,54,2.0,D,D,24,0.8,83,3.6,350,1.7,23,2.1,D,D,2,1.1
"$70,001–$80,000",222,0.9,290,1.3,460,1.5,47,0.3,51,1.9,D,D,25,0.9,70,3.0,289,1.4,D,D,5,1.7,3,1.6
"$80,001–$90,000",195,0.8,226,1.0,385,1.3,35,0.2,49,1.8,D,D,15,0.5,76,3.3,228,1.1,D,D,1,0.3,3,1.6
"$90,001–$100,000",224,0.9,278,1.3,447,1.5,50,0.3,60,2.2,D,D,18,0.6,78,3.4,266,1.3,D,D,0,0.0,4,2.2
"$100,001–$120,000",309,1.2,478,2.2,719,2.4,60,0.4,87,3.2,D,D,20,0.7,127,5.5,442,2.1,D,D,7,2.3,5,2.7
"$120,001–$140,000",195,0.8,306,1.4,471,1.6,29,0.2,66,2.4,5,5.6,15,0.5,100,4.4,260,1.3,19,1.8,5,1.7,1,0.5
"$140,001–$160,000",237,0.9,325,1.5,500,1.7,58,0.3,51,1.9,D,D,18,0.6,129,5.6,273,1.3,D,D,6,2.0,2,1.1
"$160,001 or more",489,1.9,807,3.7,"1,195",3.9,92,0.5,143,5.3,6,6.7,46,1.6,350,15.2,577,2.8,49,4.6,13,4.4,11,6.0
Undergraduate debt, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,
All reporting undergraduate debt (number),"25,605",,"21,682",,"30,270",,"16,768",,"2,722",,90,,"2,929",,"2,300",,"20,677",,"1,071",,298,,183,
Median debt,"$25,000",,"$25,000",,"$25,000",,"$15,000",,"$25,000",,"$35,000",,"$25,000",,"$35,000",,"$25,000",,"$25,000",,"$25,000",,"$25,000",
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
No debt,"19,006",74.2,"15,320",70.7,"18,965",62.7,"15,165",90.4,"1,459",53.6,34,37.8,"2,290",78.2,906,39.4,"13,324",64.4,638,59.6,193,64.8,121,66.1
"$10,000 or less","1,588",6.2,"1,297",6.0,"2,146",7.1,725,4.3,268,9.8,9,10.0,159,5.4,179,7.8,"1,432",6.9,67,6.3,21,7.0,11,6.0
"$10,001–$20,000","1,275",5.0,"1,185",5.5,"2,171",7.2,282,1.7,251,9.2,7,7.8,157,5.4,187,8.1,"1,453",7.0,88,8.2,20,6.7,8,4.4
"$20,001–$30,000","1,184",4.6,"1,077",5.0,"2,035",6.7,218,1.3,209,7.7,10,11.1,124,4.2,202,8.8,"1,382",6.7,71,6.6,24,8.1,13,7.1
"$30,001–$40,000",819,3.2,841,3.9,"1,527",5.0,124,0.7,138,5.1,7,7.8,79,2.7,195,8.5,"1,023",4.9,62,5.8,11,3.7,12,6.6
"$40,001–$50,000",502,2.0,500,2.3,915,3.0,87,0.5,114,4.2,5,5.6,31,1.1,140,6.1,566,2.7,47,4.4,8,2.7,4,2.2
"$50,001–$60,000",351,1.4,428,2.0,720,2.4,55,0.3,81,3.0,6,6.7,21,0.7,127,5.5,447,2.2,33,3.1,4,1.3,1,0.5
"$60,001–$70,000",222,0.9,242,1.1,436,1.4,26,0.2,46,1.7,0,0.0,8,0.3,58,2.5,301,1.5,16,1.5,5,1.7,2,1.1
"$70,001–$80,000",179,0.7,160,0.7,325,1.1,12,0.1,29,1.1,D,D,21,0.7,58,2.5,202,1.0,10,0.9,D,D,0,0.0
"$80,001–$90,000",162,0.6,168,0.8,306,1.0,24,0.1,38,1.4,D,D,15,0.5,65,2.8,173,0.8,6,0.6,D,D,2,1.1
"$90,001 or more",317,1.2,464,2.1,724,2.4,50,0.3,89,3.3,5,5.6,24,0.8,183,8.0,374,1.8,33,3.1,7,2.3,9,4.9
