Table 9-6,,,,,,,,,,
"Engineering research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2021",,,,,,,,,,
(Number and percent),,,,,,,,,,
Characteristic,All engineering fields,"Biological, biomedical, and biosystems engineering",Chemical and petroleum engineering,"Civil, environmental, and transportation engineering",Electrical and computer engineering,Engineering technologies,Industrial engineering and operations research,Materials and mining engineering,Mechanical engineering,"Engineering, other"
United Statesi,90.5,95.1,91.3,85.3,91.3,84.2,88.6,91.6,90.2,92.1
Midwest,14.6,15.8,12.4,14.9,12.1,13.4,16.1,19.0,16.9,15.3
Northeast,16.5,27.7,22.8,11.4,12.6,14.4,19.4,11.6,15.7,14.0
South,25.3,24.0,24.9,34.3,21.6,21.5,27.8,20.3,27.0,27.7
West,33.5,26.9,30.6,23.9,44.7,34.9,24.5,40.6,30.3,33.8
Outside the United States,9.4,4.8,8.7,14.7,8.6,15.8,11.2,8.2,9.7,7.7
Location unknown,0.1,0.2,0.0,0.0,0.1,0.0,0.2,0.3,0.1,0.2
Postgraduation location in same state as doctorate institution (%),37.7,47.3,30.4,45.5,34.6,37.3,29.0,34.8,43.1,36.4
Male doctorate recipients reporting postgraduation status (number),"6,489",602,845,657,"1,542",311,405,415,"1,043",669
Definite postdoctoral training plans,25.9,32.7,28.8,30.1,16.7,25.1,17.0,33.0,29.0,29.4
Definite employment plans,42.5,28.4,34.7,35.0,56.7,43.1,59.5,30.4,40.2,40.5
Seeking employment or study,29.6,32.9,34.9,33.0,25.2,29.9,22.5,35.2,29.9,27.4
Other statusa,1.9,6.0,1.5,1.8,1.3,1.9,1.0,1.0,0.9,2.5
Definite postdoctoral training plans (%)b,,,,,,,,,,
Postdoc fellowship or research associateship,95.9,93.4,96.3,97.0,94.2,92.3,95.7,97.8,97.7,96.4
Other training or unknownc,4.1,6.6,3.7,3.0,5.8,7.7,4.3,2.2,2.3,3.6
Definite employment plans (%)d,,,,,,,,,,
Academe,15.3,17.5,6.8,23.9,13.3,D,29.9,D,12.9,16.2
In tenure track faculty position (%),51.5,D,D,72.7,53.4,D,62.5,D,44.4,38.6
Not in tenure track position (%),41.3,D,D,27.3,41.4,50.0,27.8,D,46.3,45.5
Government,7.5,D,D,13.9,3.9,6.7,7.5,5.6,10.5,16.6
Industry or businesse,72.1,73.7,86.7,55.2,77.9,74.6,56.8,84.9,71.4,58.7
Nonprofit organization,3.2,D,D,2.6,3.1,D,4.6,D,3.6,7.4
Other or unknownf,1.9,2.9,1.4,4.3,1.8,3.0,1.2,0.0,1.7,1.1
Primary activityg,,,,,,,,,,
Research and development,66.9,69.3,76.4,32.9,72.5,64.3,61.3,70.9,66.8,70.4
Teaching,7.5,5.5,D,13.9,6.3,D,13.5,D,7.4,7.3
Management or administration,2.4,4.9,0.0,D,D,D,6.1,0.0,D,D
Professional services and other,23.2,20.2,D,D,D,26.4,19.1,D,D,D
Secondary activityg,,,,,,,,,,
Research and development,18.5,15.3,13.8,29.2,17.9,D,22.6,D,19.9,16.2
Teaching,6.5,D,D,10.6,D,D,D,D,5.1,6.2
Management or administration,11.6,24.5,13.0,14.8,D,D,D,17.1,10.7,12.7
Professional services and other,19.4,D,D,11.1,20.0,20.2,19.6,17.9,20.5,21.5
No secondary activity,44.0,37.4,50.0,34.7,48.6,39.5,34.3,49.6,43.7,43.5
Activity unknown,5.1,4.7,5.8,5.7,4.3,3.7,4.6,7.1,6.7,4.1
Postgraduation location (%)h,,,,,,,,,,
United Statesi,90.1,95.4,90.9,85.0,91.0,83.5,88.4,90.1,90.2,91.5
Midwest,15.3,19.0,13.1,15.4,12.4,15.6,14.8,19.8,17.9,15.8
Northeast,15.5,24.7,22.6,10.7,11.8,14.6,20.3,10.6,15.4,13.0
South,25.3,23.1,24.4,34.6,21.6,21.7,29.0,20.5,26.5,29.1
West,33.5,27.7,30.2,23.8,44.9,31.6,23.5,39.2,30.1,32.9
Outside the United States,9.8,4.3,9.1,15.0,8.8,16.5,11.6,9.5,9.7,8.3
Location unknown,0.1,0.3,0.0,0.0,0.2,0.0,0.0,0.4,0.1,0.2
Postgraduation location in same state as doctorate institution (%),37.8,46.5,30.8,47.7,33.6,40.1,30.0,36.1,43.6,36.8
Female doctorate recipients reporting postgraduation status (number),"2,265",413,352,282,324,127,158,186,231,192
Definite postdoctoral training plans,26.5,34.9,23.0,26.2,19.4,29.1,13.9,26.3,29.9,31.8
Definite employment plans,38.9,28.1,42.6,34.0,49.1,27.6,60.8,36.0,36.4,40.6
Seeking employment or study,32.1,32.0,33.5,38.3,28.1,40.9,23.4,36.6,30.7,26.0
Other statusa,2.5,5.1,0.9,1.4,3.4,2.4,1.9,1.1,3.0,1.6
Definite postdoctoral training plans (%)b,,,,,,,,,,
Postdoc fellowship or research associateship,95.5,96.5,98.8,91.9,93.7,97.3,95.5,98.0,94.2,93.4
Other training or unknownc,4.5,3.5,1.2,8.1,6.3,2.7,4.5,2.0,5.8,6.6
Definite employment plans (%)d,,,,,,,,,,
Academe,16.7,12.1,3.3,27.1,15.1,D,27.1,D,22.6,28.2
In tenure track faculty position (%),49.0,D,D,57.7,70.8,D,65.4,D,31.6,27.3
Not in tenure track position (%),45.6,D,D,38.5,29.2,0.0,23.1,D,63.2,68.2
Government,6.5,D,D,12.5,D,D,5.2,9.0,10.7,14.1
Industry or businesse,70.1,80.2,90.0,49.0,78.6,65.7,58.3,71.6,60.7,51.3
Nonprofit organization,4.5,D,D,5.2,D,D,6.3,D,6.0,6.4
Other or unknownf,2.2,0.0,1.3,6.3,1.9,5.7,3.1,4.5,0.0,0.0
Primary activityg,,,,,,,,,,
Research and development,60.7,54.4,74.3,35.6,65.6,61.8,61.3,71.9,53.8,61.8
Teaching,8.2,7.0,D,14.4,7.8,D,10.8,D,10.3,13.2
Management or administration,2.8,5.3,D,D,D,0.0,5.4,D,D,D
Professional services and other,28.2,33.3,22.1,D,D,D,22.6,D,D,D
Secondary activityg,,,,,,,,,,
Research and development,17.8,17.5,10.0,22.2,20.1,D,17.2,D,24.4,15.8
Teaching,8.2,D,D,13.3,D,D,D,D,10.3,9.2
Management or administration,11.0,19.3,12.9,12.2,D,D,D,10.9,17.9,14.5
Professional services and other,17.8,D,D,7.8,20.8,17.6,20.4,26.6,11.5,18.4
No secondary activity,45.2,43.0,55.7,44.4,48.1,52.9,40.9,37.5,35.9,42.1
Activity unknown,4.3,1.7,6.7,6.3,3.1,2.9,3.1,4.5,7.1,2.6
Postgraduation location (%)h,,,,,,,,,,
United Statesi,91.6,94.6,92.2,85.9,92.8,86.1,89.0,94.8,90.2,94.2
Midwest,12.6,11.2,10.8,13.5,10.8,6.9,19.5,17.2,12.4,13.7
Northeast,19.6,31.9,23.4,12.9,16.2,13.9,16.9,13.8,17.0,17.3
South,25.3,25.4,26.0,33.5,21.6,20.8,24.6,19.8,29.4,23.0
West,33.2,25.8,31.6,24.1,43.7,44.4,27.1,44.0,31.4,36.7
Outside the United States,8.3,5.4,7.8,14.1,7.2,13.9,10.2,5.2,9.8,5.8
Location unknown,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
Postgraduation location in same state as doctorate institution (%),37.3,48.5,29.4,40.0,40.1,29.2,26.3,31.9,41.2,35.3
