State or location,Abbrev,All fields,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Business,Education,Humanities,Visual and performing arts,Other
Kansas,KS,466.00,32.00,62.00,12.00,72.00,3.00,16.00,18.00,12.00,38.00,56.00,40.00,11.00,43.00,22.00,7.00,22.00
Kentucky,KY,484.00,8.00,83.00,8.00,62.00,2.00,39.00,15.00,10.00,34.00,26.00,49.00,4.00,58.00,50.00,8.00,28.00
Louisiana,LA,586.00,22.00,100.00,12.00,96.00,17.00,35.00,18.00,4.00,58.00,28.00,46.00,26.00,51.00,45.00,7.00,21.00
Maine,ME,70.00,11.00,10.00,0.00,13.00,6.00,1.00,0.00,0.00,7.00,5.00,5.00,0.00,4.00,3.00,1.00,4.00
Maryland,MD,1173.00,18.00,258.00,87.00,200.00,23.00,97.00,39.00,33.00,86.00,50.00,113.00,24.00,42.00,57.00,11.00,35.00
Massachusetts,MA,2652.00,20.00,458.00,135.00,500.00,39.00,132.00,89.00,79.00,297.00,116.00,315.00,65.00,104.00,171.00,33.00,99.00
Michigan,MI,1790.00,32.00,271.00,78.00,379.00,23.00,82.00,81.00,35.00,192.00,104.00,169.00,18.00,161.00,72.00,7.00,86.00
Minnesota,MN,1499.00,27.00,143.00,29.00,126.00,6.00,203.00,26.00,21.00,60.00,230.00,204.00,107.00,148.00,28.00,5.00,136.00
Mississippi,MS,409.00,31.00,39.00,6.00,47.00,6.00,28.00,8.00,12.00,33.00,40.00,26.00,16.00,83.00,14.00,0.00,20.00
Missouri,MO,905.00,22.00,142.00,28.00,205.00,12.00,55.00,28.00,15.00,61.00,72.00,57.00,18.00,56.00,103.00,5.00,26.00
Montana,MT,113.00,8.00,32.00,1.00,9.00,4.00,5.00,8.00,1.00,9.00,10.00,5.00,0.00,13.00,7.00,0.00,1.00
Nebraska,NE,329.00,37.00,67.00,5.00,44.00,2.00,27.00,12.00,11.00,20.00,24.00,15.00,9.00,29.00,13.00,1.00,13.00
Nevada,NV,240.00,2.00,31.00,2.00,30.00,13.00,16.00,4.00,8.00,17.00,41.00,23.00,9.00,33.00,7.00,0.00,4.00
New Hampshire,NH,159.00,10.00,39.00,9.00,34.00,7.00,5.00,9.00,1.00,19.00,3.00,8.00,2.00,5.00,8.00,0.00,0.00
New Jersey,NJ,950.00,19.00,113.00,70.00,182.00,19.00,28.00,46.00,21.00,93.00,36.00,109.00,24.00,56.00,86.00,11.00,37.00
New Mexico,NM,280.00,12.00,37.00,8.00,58.00,14.00,6.00,10.00,2.00,34.00,11.00,22.00,4.00,45.00,8.00,0.00,9.00
New York,NY,3871.00,49.00,664.00,195.00,532.00,55.00,139.00,145.00,87.00,355.00,333.00,421.00,76.00,218.00,325.00,135.00,142.00
North Carolina,NC,1724.00,47.00,312.00,62.00,331.00,25.00,124.00,100.00,46.00,143.00,94.00,123.00,29.00,95.00,101.00,16.00,76.00
North Dakota,ND,175.00,9.00,21.00,2.00,35.00,4.00,7.00,6.00,1.00,10.00,24.00,4.00,7.00,30.00,6.00,0.00,9.00
Ohio,OH,1878.00,36.00,298.00,36.00,381.00,28.00,86.00,58.00,53.00,177.00,132.00,143.00,40.00,185.00,110.00,33.00,82.00
Oklahoma,OK,484.00,22.00,68.00,7.00,79.00,27.00,21.00,7.00,6.00,32.00,54.00,23.00,27.00,57.00,27.00,13.00,14.00
Oregon,OR,552.00,21.00,90.00,16.00,98.00,18.00,24.00,19.00,9.00,50.00,47.00,61.00,15.00,34.00,14.00,9.00,27.00
Pennsylvania,PA,2434.00,19.00,396.00,124.00,448.00,32.00,127.00,85.00,80.00,234.00,131.00,221.00,79.00,149.00,164.00,37.00,108.00
Rhode Island,RI,260.00,3.00,46.00,11.00,35.00,11.00,9.00,9.00,12.00,25.00,10.00,39.00,7.00,9.00,26.00,4.00,4.00
South Carolina,SC,476.00,11.00,75.00,13.00,126.00,7.00,40.00,15.00,6.00,43.00,18.00,29.00,17.00,40.00,15.00,0.00,21.00
South Dakota,SD,122.00,17.00,15.00,5.00,17.00,5.00,12.00,1.00,8.00,13.00,7.00,8.00,0.00,2.00,1.00,0.00,11.00
Tennessee,TN,880.00,24.00,164.00,21.00,151.00,6.00,42.00,20.00,31.00,69.00,70.00,71.00,8.00,92.00,69.00,14.00,28.00
Texas,TX,4118.00,87.00,605.00,151.00,918.00,111.00,214.00,158.00,90.00,312.00,251.00,258.00,130.00,378.00,277.00,42.00,136.00
Utah,UT,502.00,12.00,74.00,22.00,112.00,14.00,31.00,22.00,7.00,44.00,44.00,20.00,11.00,59.00,13.00,1.00,16.00
Vermont,VT,64.00,8.00,21.00,3.00,9.00,0.00,0.00,1.00,1.00,8.00,7.00,2.00,0.00,4.00,0.00,0.00,0.00
Virginia,VA,1518.00,40.00,173.00,78.00,311.00,29.00,73.00,41.00,46.00,116.00,108.00,132.00,51.00,187.00,62.00,12.00,59.00
Washington,WA,910.00,30.00,164.00,38.00,153.00,34.00,58.00,47.00,37.00,96.00,50.00,73.00,24.00,35.00,31.00,10.00,30.00
West Virginia,WV,215.00,6.00,30.00,3.00,40.00,3.00,14.00,3.00,1.00,22.00,23.00,19.00,1.00,19.00,4.00,16.00,11.00
Wisconsin,WI,940.00,28.00,168.00,21.00,133.00,9.00,66.00,52.00,11.00,108.00,63.00,100.00,20.00,57.00,62.00,8.00,34.00
Wyoming,WY,84.00,5.00,17.00,1.00,26.00,8.00,0.00,2.00,1.00,9.00,5.00,2.00,0.00,8.00,0.00,0.00,0.00
